province,year,births,COD_PROV,DEN_PROV,source,validated
Agrigento,1863,11642,84,Girgenti,TAVOLA_VI_1881,OK
Alessandria,1863,25069,6,Alessandria,TAVOLA_VI_1881,OK
Ancona,1863,9921,42,Ancona,TAVOLA_VI_1881,OK
Arezzo,1863,9497,51,Arezzo,TAVOLA_VI_1881,OK
Ascoli Piceno,1863,6653,44,Ascoli Piceno,TAVOLA_VI_1881,OK
Avellino,1863,14446,64,Avellino,TAVOLA_VI_1881,OK
Bari,1863,24508,72,Bari delle Puglie,TAVOLA_VI_1881,OK
Belluno,1863,6328,25,Belluno,TAVOLA_VI_1881,OK
Benevento,1863,8304,62,Benevento,TAVOLA_VI_1881,OK
Bergamo,1863,13096,16,Bergamo,TAVOLA_VI_1881,OK
Bologna,1863,15690,37,Bologna,TAVOLA_VI_1881,OK
Brescia,1863,17261,17,Brescia,TAVOLA_VI_1881,OK
Cagliari,1863,13201,92,Cagliari,TAVOLA_VI_1881,OK
Caltanissetta,1863,9944,85,Caltanissetta,TAVOLA_VI_1881,OK
Campobasso,1863,14849,70,Campobasso,TAVOLA_VI_1881,OK
Caserta,1863,23779,61,Caserta,TAVOLA_VI_1881,OK
Catania,1863,18871,87,Catania,TAVOLA_VI_1881,OK
Catanzaro,1863,15265,79,Catanzaro,TAVOLA_VI_1881,OK
Chieti,1863,12523,69,Chieti,TAVOLA_VI_1881,OK
Como,1863,17167,13,Como,TAVOLA_VI_1881,OK
Cosenza,1863,17608,78,Cosenza,TAVOLA_VI_1881,OK
Cremona,1863,13774,19,Cremona,TAVOLA_VI_1881,OK
Cuneo,1863,22095,4,Cuneo,TAVOLA_VI_1881,OK
Ferrara,1863,9271,38,Ferrara,TAVOLA_VI_1881,OK
Firenze,1863,32232,48,Firenze,TAVOLA_VI_1881,OK
Foggia,1863,13302,71,Foggia,TAVOLA_VI_1881,OK
Forlì,1863,9374,40,Forlì,TAVOLA_VI_1881,OK
Genova,1863,24620,10,Genova,TAVOLA_VI_1881,OK
Grosseto,1863,3919,53,Grosseto,TAVOLA_VI_1881,OK
Imperia,1863,4162,8,Porto Maurizio,TAVOLA_VI_1881,OK
L'Aquila,1863,11928,66,Aquila degli Abruzzi,TAVOLA_VI_1881,OK
Lecce,1863,17845,75,Lecce,TAVOLA_VI_1881,OK
Livorno,1863,4425,49,Livorno,TAVOLA_VI_1881,OK
Lucca,1863,10080,46,Lucca,TAVOLA_VI_1881,OK
Macerata,1863,8194,43,Macerata,TAVOLA_VI_1881,OK
Mantova,1863,6490,20,Mantova,TAVOLA_VI_1881,OK
Massa-Carrara,1863,5487,45,Massa e Carrara,TAVOLA_VI_1881,OK
Messina,1863,15042,83,Messina,TAVOLA_VI_1881,OK
Milano,1863,39810,15,Milano,TAVOLA_VI_1881,OK
Modena,1863,10868,36,Modena,TAVOLA_VI_1881,OK
Napoli,1863,34511,63,Napoli,TAVOLA_VI_1881,OK
Novara,1863,22135,3,Novara,TAVOLA_VI_1881,OK
Padova,1863,14117,28,Padova,TAVOLA_VI_1881,OK
Palermo,1863,22881,82,Palermo,TAVOLA_VI_1881,OK
Parma,1863,10091,34,Parma,TAVOLA_VI_1881,OK
Pavia,1863,17146,18,Pavia,TAVOLA_VI_1881,OK
Perugia,1863,18318,54,Umbria,TAVOLA_VI_1881,OK
Pesaro e Urbino,1863,7891,41,Pesaro e Urbino,TAVOLA_VI_1881,OK
Piacenza,1863,8488,33,Piacenza,TAVOLA_VI_1881,OK
Pisa,1863,9880,50,Pisa,TAVOLA_VI_1881,OK
Potenza,1863,21451,76,Potenza,TAVOLA_VI_1881,OK
Ravenna,1863,7448,39,Ravenna,TAVOLA_VI_1881,OK
Reggio Calabria,1863,12653,80,Reggio di Calabria,TAVOLA_VI_1881,OK
Reggio Emilia,1863,9729,35,Reggio nell'Emilia,TAVOLA_VI_1881,OK
Rovigo,1863,8579,29,Rovigo,TAVOLA_VI_1881,OK
Salerno,1863,20674,65,Salerno,TAVOLA_VI_1881,OK
Sassari,1863,8869,90,Sassari,TAVOLA_VI_1881,OK
Siena,1863,8146,52,Siena,TAVOLA_VI_1881,OK
Siracusa,1863,11600,89,Siracusa,TAVOLA_VI_1881,OK
Sondrio,1863,3882,14,Sondrio,TAVOLA_VI_1881,OK
Teramo,1863,7740,67,Teramo,TAVOLA_VI_1881,OK
Torino,1863,33474,1,Torino,TAVOLA_VI_1881,OK
Trapani,1863,9661,81,Trapani,TAVOLA_VI_1881,OK
Treviso,1863,12389,26,Treviso,TAVOLA_VI_1881,OK
Udine,1863,15882,30,Udine,TAVOLA_VI_1881,OK
Venezia,1863,12139,27,Venezia,TAVOLA_VI_1881,OK
Verona,1863,12779,23,Verona,TAVOLA_VI_1881,OK
Vicenza,1863,12844,24,Vicenza,TAVOLA_VI_1881,OK
Agrigento,1864,12006,84,Girgenti,TAVOLA_VI_1881,OK
Alessandria,1864,24703,6,Alessandria,TAVOLA_VI_1881,OK
Ancona,1864,9792,42,Ancona,TAVOLA_VI_1881,OK
Arezzo,1864,8590,51,Arezzo,TAVOLA_VI_1881,OK
Ascoli Piceno,1864,6983,44,Ascoli Piceno,TAVOLA_VI_1881,OK
Avellino,1864,14100,64,Avellino,TAVOLA_VI_1881,OK
Bari,1864,24565,72,Bari delle Puglie,TAVOLA_VI_1881,OK
Belluno,1864,6342,25,Belluno,TAVOLA_VI_1881,OK
Benevento,1864,8129,62,Benevento,TAVOLA_VI_1881,OK
Bergamo,1864,12965,16,Bergamo,TAVOLA_VI_1881,OK
Bologna,1864,14452,37,Bologna,TAVOLA_VI_1881,OK
Brescia,1864,17323,17,Brescia,TAVOLA_VI_1881,OK
Cagliari,1864,13594,92,Cagliari,TAVOLA_VI_1881,OK
Caltanissetta,1864,10059,85,Caltanissetta,TAVOLA_VI_1881,OK
Campobasso,1864,13992,70,Campobasso,TAVOLA_VI_1881,OK
Caserta,1864,24367,61,Caserta,TAVOLA_VI_1881,OK
Catania,1864,19573,87,Catania,TAVOLA_VI_1881,OK
Catanzaro,1864,14495,79,Catanzaro,TAVOLA_VI_1881,OK
Chieti,1864,11321,69,Chieti,TAVOLA_VI_1881,OK
Como,1864,16406,13,Como,TAVOLA_VI_1881,OK
Cosenza,1864,16675,78,Cosenza,TAVOLA_VI_1881,OK
Cremona,1864,12846,19,Cremona,TAVOLA_VI_1881,OK
Cuneo,1864,22260,4,Cuneo,TAVOLA_VI_1881,OK
Ferrara,1864,8197,38,Ferrara,TAVOLA_VI_1881,OK
Firenze,1864,29334,48,Firenze,TAVOLA_VI_1881,OK
Foggia,1864,12991,71,Foggia,TAVOLA_VI_1881,OK
Forlì,1864,8399,40,Forlì,TAVOLA_VI_1881,OK
Genova,1864,24775,10,Genova,TAVOLA_VI_1881,OK
Grosseto,1864,3956,53,Grosseto,TAVOLA_VI_1881,OK
Imperia,1864,4255,8,Porto Maurizio,TAVOLA_VI_1881,OK
L'Aquila,1864,12104,66,Aquila degli Abruzzi,TAVOLA_VI_1881,OK
Lecce,1864,17579,75,Lecce,TAVOLA_VI_1881,OK
Livorno,1864,4339,49,Livorno,TAVOLA_VI_1881,OK
Lucca,1864,10008,46,Lucca,TAVOLA_VI_1881,OK
Macerata,1864,7857,43,Macerata,TAVOLA_VI_1881,OK
Mantova,1864,5888,20,Mantova,TAVOLA_VI_1881,OK
Massa-Carrara,1864,5426,45,Massa e Carrara,TAVOLA_VI_1881,OK
Messina,1864,15012,83,Messina,TAVOLA_VI_1881,OK
Milano,1864,39075,15,Milano,TAVOLA_VI_1881,OK
Modena,1864,9986,36,Modena,TAVOLA_VI_1881,OK
Napoli,1864,34029,63,Napoli,TAVOLA_VI_1881,OK
Novara,1864,22292,3,Novara,TAVOLA_VI_1881,OK
Padova,1864,12443,28,Padova,TAVOLA_VI_1881,OK
Palermo,1864,22901,82,Palermo,TAVOLA_VI_1881,OK
Parma,1864,9166,34,Parma,TAVOLA_VI_1881,OK
Pavia,1864,16957,18,Pavia,TAVOLA_VI_1881,OK
Perugia,1864,18636,54,Umbria,TAVOLA_VI_1881,OK
Pesaro e Urbino,1864,7645,41,Pesaro e Urbino,TAVOLA_VI_1881,OK
Piacenza,1864,7731,33,Piacenza,TAVOLA_VI_1881,OK
Pisa,1864,8973,50,Pisa,TAVOLA_VI_1881,OK
Potenza,1864,20795,76,Potenza,TAVOLA_VI_1881,OK
Ravenna,1864,7464,39,Ravenna,TAVOLA_VI_1881,OK
Reggio Calabria,1864,12890,80,Reggio di Calabria,TAVOLA_VI_1881,OK
Reggio Emilia,1864,8842,35,Reggio nell'Emilia,TAVOLA_VI_1881,OK
Rovigo,1864,7487,29,Rovigo,TAVOLA_VI_1881,OK
Salerno,1864,20160,65,Salerno,TAVOLA_VI_1881,OK
Sassari,1864,9194,90,Sassari,TAVOLA_VI_1881,OK
Siena,1864,7462,52,Siena,TAVOLA_VI_1881,OK
Siracusa,1864,11908,89,Siracusa,TAVOLA_VI_1881,OK
Sondrio,1864,3963,14,Sondrio,TAVOLA_VI_1881,OK
Teramo,1864,7544,67,Teramo,TAVOLA_VI_1881,OK
Torino,1864,34610,1,Torino,TAVOLA_VI_1881,OK
Trapani,1864,9803,81,Trapani,TAVOLA_VI_1881,OK
Treviso,1864,11867,26,Treviso,TAVOLA_VI_1881,OK
Udine,1864,14476,30,Udine,TAVOLA_VI_1881,OK
Venezia,1864,11371,27,Venezia,TAVOLA_VI_1881,OK
Verona,1864,11279,23,Verona,TAVOLA_VI_1881,OK
Vicenza,1864,12188,24,Vicenza,TAVOLA_VI_1881,OK
Agrigento,1865,11945,84,Girgenti,TAVOLA_VI_1881,OK
Alessandria,1865,24403,6,Alessandria,TAVOLA_VI_1881,OK
Ancona,1865,9831,42,Ancona,TAVOLA_VI_1881,OK
Arezzo,1865,9147,51,Arezzo,TAVOLA_VI_1881,OK
Ascoli Piceno,1865,6456,44,Ascoli Piceno,TAVOLA_VI_1881,OK
Avellino,1865,14316,64,Avellino,TAVOLA_VI_1881,OK
Bari,1865,25063,72,Bari delle Puglie,TAVOLA_VI_1881,OK
Belluno,1865,6499,25,Belluno,TAVOLA_VI_1881,OK
Benevento,1865,8084,62,Benevento,TAVOLA_VI_1881,OK
Bergamo,1865,13166,16,Bergamo,TAVOLA_VI_1881,OK
Bologna,1865,14671,37,Bologna,TAVOLA_VI_1881,OK
Brescia,1865,17470,17,Brescia,TAVOLA_VI_1881,OK
Cagliari,1865,14026,92,Cagliari,TAVOLA_VI_1881,OK
Caltanissetta,1865,10252,85,Caltanissetta,TAVOLA_VI_1881,OK
Campobasso,1865,14826,70,Campobasso,TAVOLA_VI_1881,OK
Caserta,1865,25128,61,Caserta,TAVOLA_VI_1881,OK
Catania,1865,19168,87,Catania,TAVOLA_VI_1881,OK
Catanzaro,1865,15586,79,Catanzaro,TAVOLA_VI_1881,OK
Chieti,1865,12429,69,Chieti,TAVOLA_VI_1881,OK
Como,1865,17267,13,Como,TAVOLA_VI_1881,OK
Cosenza,1865,17348,78,Cosenza,TAVOLA_VI_1881,OK
Cremona,1865,13479,19,Cremona,TAVOLA_VI_1881,OK
Cuneo,1865,22550,4,Cuneo,TAVOLA_VI_1881,OK
Ferrara,1865,8680,38,Ferrara,TAVOLA_VI_1881,OK
Firenze,1865,31044,48,Firenze,TAVOLA_VI_1881,OK
Foggia,1865,12873,71,Foggia,TAVOLA_VI_1881,OK
Forlì,1865,8787,40,Forlì,TAVOLA_VI_1881,OK
Genova,1865,26596,10,Genova,TAVOLA_VI_1881,OK
Grosseto,1865,3994,53,Grosseto,TAVOLA_VI_1881,OK
Imperia,1865,4255,8,Porto Maurizio,TAVOLA_VI_1881,OK
L'Aquila,1865,11819,66,Aquila degli Abruzzi,TAVOLA_VI_1881,OK
Lecce,1865,18635,75,Lecce,TAVOLA_VI_1881,OK
Livorno,1865,4416,49,Livorno,TAVOLA_VI_1881,OK
Lucca,1865,10496,46,Lucca,TAVOLA_VI_1881,OK
Macerata,1865,7942,43,Macerata,TAVOLA_VI_1881,OK
Mantova,1865,1486,20,Mantova,TAVOLA_VI_1881,OK
Massa-Carrara,1865,5675,45,Massa e Carrara,TAVOLA_VI_1881,OK
Messina,1865,15494,83,Messina,TAVOLA_VI_1881,OK
Milano,1865,40353,15,Milano,TAVOLA_VI_1881,OK
Modena,1865,10592,36,Modena,TAVOLA_VI_1881,OK
Napoli,1865,34869,63,Napoli,TAVOLA_VI_1881,OK
Novara,1865,23634,3,Novara,TAVOLA_VI_1881,OK
Padova,1865,13738,28,Padova,TAVOLA_VI_1881,OK
Palermo,1865,23211,82,Palermo,TAVOLA_VI_1881,OK
Parma,1865,9239,34,Parma,TAVOLA_VI_1881,OK
Pavia,1865,17100,18,Pavia,TAVOLA_VI_1881,OK
Perugia,1865,17779,54,Umbria,TAVOLA_VI_1881,OK
Pesaro e Urbino,1865,7757,41,Pesaro e Urbino,TAVOLA_VI_1881,OK
Piacenza,1865,7672,33,Piacenza,TAVOLA_VI_1881,OK
Pisa,1865,9578,50,Pisa,TAVOLA_VI_1881,OK
Potenza,1865,21308,76,Potenza,TAVOLA_VI_1881,OK
Ravenna,1865,7641,39,Ravenna,TAVOLA_VI_1881,OK
Reggio Calabria,1865,12777,80,Reggio di Calabria,TAVOLA_VI_1881,OK
Reggio Emilia,1865,9200,35,Reggio nell'Emilia,TAVOLA_VI_1881,OK
Rovigo,1865,8034,29,Rovigo,TAVOLA_VI_1881,OK
Salerno,1865,20202,65,Salerno,TAVOLA_VI_1881,OK
Sassari,1865,9182,90,Sassari,TAVOLA_VI_1881,OK
Siena,1865,7893,52,Siena,TAVOLA_VI_1881,OK
Siracusa,1865,12117,89,Siracusa,TAVOLA_VI_1881,OK
Sondrio,1865,4230,14,Sondrio,TAVOLA_VI_1881,OK
Teramo,1865,7570,67,Teramo,TAVOLA_VI_1881,OK
Torino,1865,34509,1,Torino,TAVOLA_VI_1881,OK
Trapani,1865,9567,81,Trapani,TAVOLA_VI_1881,OK
Treviso,1865,12855,26,Treviso,TAVOLA_VI_1881,OK
Udine,1865,15819,30,Udine,TAVOLA_VI_1881,OK
Venezia,1865,11713,27,Venezia,TAVOLA_VI_1881,OK
Verona,1865,12479,23,Verona,TAVOLA_VI_1881,OK
Vicenza,1865,13224,24,Vicenza,TAVOLA_VI_1881,OK
Agrigento,1866,11876,84,Girgenti,TAVOLA_VI_1881,OK
Alessandria,1866,25192,6,Alessandria,TAVOLA_VI_1881,OK
Ancona,1866,10109,42,Ancona,TAVOLA_VI_1881,OK
Arezzo,1866,8717,51,Arezzo,TAVOLA_VI_1881,OK
Ascoli Piceno,1866,7288,44,Ascoli Piceno,TAVOLA_VI_1881,OK
Avellino,1866,14326,64,Avellino,TAVOLA_VI_1881,OK
Bari,1866,26632,72,Bari delle Puglie,TAVOLA_VI_1881,OK
Belluno,1866,6878,25,Belluno,TAVOLA_VI_1881,OK
Benevento,1866,8321,62,Benevento,TAVOLA_VI_1881,OK
Bergamo,1866,14477,16,Bergamo,TAVOLA_VI_1881,OK
Bologna,1866,15272,37,Bologna,TAVOLA_VI_1881,OK
Brescia,1866,18471,17,Brescia,TAVOLA_VI_1881,OK
Cagliari,1866,14404,92,Cagliari,TAVOLA_VI_1881,OK
Caltanissetta,1866,9640,85,Caltanissetta,TAVOLA_VI_1881,OK
Campobasso,1866,14048,70,Campobasso,TAVOLA_VI_1881,OK
Caserta,1866,24738,61,Caserta,TAVOLA_VI_1881,OK
Catania,1866,18198,87,Catania,TAVOLA_VI_1881,OK
Catanzaro,1866,15676,79,Catanzaro,TAVOLA_VI_1881,OK
Chieti,1866,12743,69,Chieti,TAVOLA_VI_1881,OK
Como,1866,17561,13,Como,TAVOLA_VI_1881,OK
Cosenza,1866,18339,78,Cosenza,TAVOLA_VI_1881,OK
Cremona,1866,13830,19,Cremona,TAVOLA_VI_1881,OK
Cuneo,1866,22723,4,Cuneo,TAVOLA_VI_1881,OK
Ferrara,1866,8939,38,Ferrara,TAVOLA_VI_1881,OK
Firenze,1866,31123,48,Firenze,TAVOLA_VI_1881,OK
Foggia,1866,12995,71,Foggia,TAVOLA_VI_1881,OK
Forlì,1866,8918,40,Forlì,TAVOLA_VI_1881,OK
Genova,1866,26695,10,Genova,TAVOLA_VI_1881,OK
Grosseto,1866,4147,53,Grosseto,TAVOLA_VI_1881,OK
Imperia,1866,4472,8,Porto Maurizio,TAVOLA_VI_1881,OK
L'Aquila,1866,11844,66,Aquila degli Abruzzi,TAVOLA_VI_1881,OK
Lecce,1866,19505,75,Lecce,TAVOLA_VI_1881,OK
Livorno,1866,4411,49,Livorno,TAVOLA_VI_1881,OK
Lucca,1866,10011,46,Lucca,TAVOLA_VI_1881,OK
Macerata,1866,8159,43,Macerata,TAVOLA_VI_1881,OK
Mantova,1866,6148,20,Mantova,TAVOLA_VI_1881,OK
Massa-Carrara,1866,6183,45,Massa e Carrara,TAVOLA_VI_1881,OK
Messina,1866,14524,83,Messina,TAVOLA_VI_1881,OK
Milano,1866,40251,15,Milano,TAVOLA_VI_1881,OK
Modena,1866,10433,36,Modena,TAVOLA_VI_1881,OK
Napoli,1866,34059,63,Napoli,TAVOLA_VI_1881,OK
Novara,1866,24614,3,Novara,TAVOLA_VI_1881,OK
Padova,1866,14307,28,Padova,TAVOLA_VI_1881,OK
Palermo,1866,22410,82,Palermo,TAVOLA_VI_1881,OK
Parma,1866,9487,34,Parma,TAVOLA_VI_1881,OK
Pavia,1866,17865,18,Pavia,TAVOLA_VI_1881,OK
Perugia,1866,19478,54,Umbria,TAVOLA_VI_1881,OK
Pesaro e Urbino,1866,8078,41,Pesaro e Urbino,TAVOLA_VI_1881,OK
Piacenza,1866,7886,33,Piacenza,TAVOLA_VI_1881,OK
Pisa,1866,9517,50,Pisa,TAVOLA_VI_1881,OK
Potenza,1866,22033,76,Potenza,TAVOLA_VI_1881,OK
Ravenna,1866,7689,39,Ravenna,TAVOLA_VI_1881,OK
Reggio Calabria,1866,13089,80,Reggio di Calabria,TAVOLA_VI_1881,OK
Reggio Emilia,1866,9268,35,Reggio nell'Emilia,TAVOLA_VI_1881,OK
Rovigo,1866,8391,29,Rovigo,TAVOLA_VI_1881,OK
Salerno,1866,20115,65,Salerno,TAVOLA_VI_1881,OK
Sassari,1866,9460,90,Sassari,TAVOLA_VI_1881,OK
Siena,1866,7866,52,Siena,TAVOLA_VI_1881,OK
Siracusa,1866,11760,89,Siracusa,TAVOLA_VI_1881,OK
Sondrio,1866,4103,14,Sondrio,TAVOLA_VI_1881,OK
Teramo,1866,7991,67,Teramo,TAVOLA_VI_1881,OK
Torino,1866,35178,1,Torino,TAVOLA_VI_1881,OK
Trapani,1866,9780,81,Trapani,TAVOLA_VI_1881,OK
Treviso,1866,13848,26,Treviso,TAVOLA_VI_1881,OK
Udine,1866,16667,30,Udine,TAVOLA_VI_1881,OK
Venezia,1866,11749,27,Venezia,TAVOLA_VI_1881,OK
Verona,1866,12287,23,Verona,TAVOLA_VI_1881,OK
Vicenza,1866,13008,24,Vicenza,TAVOLA_VI_1881,OK
Agrigento,1867,10256,84,Girgenti,TAVOLA_VI_1881,OK
Alessandria,1867,23630,6,Alessandria,TAVOLA_VI_1881,OK
Ancona,1867,9485,42,Ancona,TAVOLA_VI_1881,OK
Arezzo,1867,9130,51,Arezzo,TAVOLA_VI_1881,OK
Ascoli Piceno,1867,6616,44,Ascoli Piceno,TAVOLA_VI_1881,OK
Avellino,1867,13913,64,Avellino,TAVOLA_VI_1881,OK
Bari,1867,24131,72,Bari delle Puglie,TAVOLA_VI_1881,OK
Belluno,1867,6664,25,Belluno,TAVOLA_VI_1881,OK
Benevento,1867,8626,62,Benevento,TAVOLA_VI_1881,OK
Bergamo,1867,12808,16,Bergamo,TAVOLA_VI_1881,OK
Bologna,1867,14264,37,Bologna,TAVOLA_VI_1881,OK
Brescia,1867,16030,17,Brescia,TAVOLA_VI_1881,OK
Cagliari,1867,13871,92,Cagliari,TAVOLA_VI_1881,OK
Caltanissetta,1867,8653,85,Caltanissetta,TAVOLA_VI_1881,OK
Campobasso,1867,15172,70,Campobasso,TAVOLA_VI_1881,OK
Caserta,1867,24499,61,Caserta,TAVOLA_VI_1881,OK
Catania,1867,16636,87,Catania,TAVOLA_VI_1881,OK
Catanzaro,1867,15164,79,Catanzaro,TAVOLA_VI_1881,OK
Chieti,1867,13343,69,Chieti,TAVOLA_VI_1881,OK
Como,1867,16367,13,Como,TAVOLA_VI_1881,OK
Cosenza,1867,16828,78,Cosenza,TAVOLA_VI_1881,OK
Cremona,1867,12196,19,Cremona,TAVOLA_VI_1881,OK
Cuneo,1867,19853,4,Cuneo,TAVOLA_VI_1881,OK
Ferrara,1867,8114,38,Ferrara,TAVOLA_VI_1881,OK
Firenze,1867,31519,48,Firenze,TAVOLA_VI_1881,OK
Foggia,1867,12152,71,Foggia,TAVOLA_VI_1881,OK
Forlì,1867,7985,40,Forlì,TAVOLA_VI_1881,OK
Genova,1867,25183,10,Genova,TAVOLA_VI_1881,OK
Grosseto,1867,4054,53,Grosseto,TAVOLA_VI_1881,OK
Imperia,1867,4162,8,Porto Maurizio,TAVOLA_VI_1881,OK
L'Aquila,1867,11867,66,Aquila degli Abruzzi,TAVOLA_VI_1881,OK
Lecce,1867,17780,75,Lecce,TAVOLA_VI_1881,OK
Livorno,1867,4139,49,Livorno,TAVOLA_VI_1881,OK
Lucca,1867,10484,46,Lucca,TAVOLA_VI_1881,OK
Macerata,1867,7991,43,Macerata,TAVOLA_VI_1881,OK
Mantova,1867,5897,20,Mantova,TAVOLA_VI_1881,OK
Massa-Carrara,1867,6300,45,Massa e Carrara,TAVOLA_VI_1881,OK
Messina,1867,13715,83,Messina,TAVOLA_VI_1881,OK
Milano,1867,38612,15,Milano,TAVOLA_VI_1881,OK
Modena,1867,9837,36,Modena,TAVOLA_VI_1881,OK
Napoli,1867,33621,63,Napoli,TAVOLA_VI_1881,OK
Novara,1867,22243,3,Novara,TAVOLA_VI_1881,OK
Padova,1867,13159,28,Padova,TAVOLA_VI_1881,OK
Palermo,1867,20596,82,Palermo,TAVOLA_VI_1881,OK
