COD_PROV,DEN_PROV,year,births,cbr
20,Mantova,1879,10518,35.76
23,Verona,1879,13779,35.45
24,Vicenza,1879,15729,40.37
25,Belluno,1879,6344,36.39
26,Treviso,1879,13616,36.7
27,Venezia,1879,12179,34.53
28,Padova,1879,15930,40.73
29,Rovigo,1879,9638,44.98
30,Udine,1879,16740,33.64
33,Piacenza,1879,7949,35.09
34,Parma,1879,9495,35.6
35,Reggio nell'Emilia,1879,9405,38.54
36,Modena,1879,10593,38.09
37,Bologna,1879,15979,35.21
38,Ferrara,1879,9535,41.87
39,Ravenna,1879,7246,32.23
40,Forlì,1879,9984,40.28
41,Pesaro e Urbino,1879,8067,36.49
42,Ancona,1879,9793,36.77
43,Macerata,1879,8375,35.03
44,Ascoli Piceno,1879,7064,33.97
45,Massa e Carrara,1879,6752,40.21
46,Lucca,1879,10457,36.86
48,Firenze,1879,29379,37.39
49,Livorno,1879,3457,28.59
50,Pisa,1879,10149,36.24
51,Arezzo,1879,9336,39.24
52,Siena,1879,7418,36.01
53,Grosseto,1879,4106,36.4
54,Umbria,1879,19483,34.33
58,Roma,1879,30298,34.07
61,Caserta,1879,26619,37.45
62,Benevento,1879,9846,41.52
63,Napoli,1879,36185,36.84
64,Avellino,1879,16200,41.59
65,Salerno,1879,20293,37.0
66,Aquila degli Abruzzi,1879,13775,39.46
67,Teramo,1879,9271,36.64
69,Chieti,1879,14501,42.26
70,Campobasso,1879,16534,45.48
71,Foggia,1879,14829,42.42
72,Bari delle Puglie,1879,29044,43.68
75,Lecce,1879,21056,38.94
76,Potenza,1879,22587,43.29
78,Cosenza,1879,17920,39.85
79,Catanzaro,1879,16404,38.18
80,Reggio di Calabria,1879,12754,34.57
81,Trapani,1879,10796,39.34
82,Palermo,1879,27260,39.93
83,Messina,1879,16725,37.19
84,Girgenti,1879,13747,44.71
85,Caltanissetta,1879,11214,43.28
87,Catania,1879,21502,39.11
89,Siracusa,1879,14126,42.55
90,Sassari,1879,9869,38.32
92,Cagliari,1879,14776,35.59
1,Torino,1880,33121,32.36
3,Novara,1880,23538,35.09
4,Cuneo,1880,22445,35.43
6,Alessandria,1880,24567,33.88
8,Porto Maurizio,1880,4014,30.47
10,Genova,1880,23251,30.77
13,Como,1880,18720,36.61
14,Sondrio,1880,4231,36.82
15,Milano,1880,42233,38.25
16,Bergamo,1880,14828,38.17
17,Brescia,1880,14157,30.13
18,Pavia,1880,16120,34.47
19,Cremona,1880,9106,30.16
20,Mantova,1880,8772,29.75
23,Verona,1880,11429,29.2
24,Vicenza,1880,12952,32.96
25,Belluno,1880,6479,37.18
26,Treviso,1880,11675,31.27
27,Venezia,1880,10348,29.18
28,Padova,1880,11627,29.48
29,Rovigo,1880,7503,34.74
30,Udine,1880,16186,32.39
33,Piacenza,1880,6438,28.41
34,Parma,1880,8021,30.04
35,Reggio nell'Emilia,1880,8166,33.4
36,Modena,1880,9195,33.0
37,Bologna,1880,13907,30.52
38,Ferrara,1880,7885,34.39
39,Ravenna,1880,6851,30.41
40,Forlì,1880,8980,35.99
41,Pesaro e Urbino,1880,7784,35.06
42,Ancona,1880,8854,33.18
43,Macerata,1880,7449,31.12
44,Ascoli Piceno,1880,6506,31.19
45,Massa e Carrara,1880,6079,36.04
46,Lucca,1880,8997,31.67
48,Firenze,1880,24169,30.66
49,Livorno,1880,3298,27.2
50,Pisa,1880,8935,31.71
51,Arezzo,1880,7175,30.11
52,Siena,1880,6095,29.59
53,Grosseto,1880,3571,31.45
54,Umbria,1880,16431,28.84
58,Roma,1880,26676,29.78
61,Caserta,1880,21221,29.79
62,Benevento,1880,7250,30.49
63,Napoli,1880,32958,33.24
64,Avellino,1880,17019,43.52
65,Salerno,1880,17976,32.73
66,Aquila degli Abruzzi,1880,12783,36.42
67,Teramo,1880,7582,29.86
69,Chieti,1880,11457,33.35
70,Campobasso,1880,12735,34.94
71,Foggia,1880,14007,39.69
72,Bari delle Puglie,1880,28902,43.0
75,Lecce,1880,20965,38.33
76,Potenza,1880,20339,38.88
78,Cosenza,1880,15860,35.21
79,Catanzaro,1880,14520,33.63
80,Reggio di Calabria,1880,11970,32.28
81,Trapani,1880,10709,38.36
82,Palermo,1880,25579,37.03
83,Messina,1880,15115,33.21
84,Girgenti,1880,12419,40.07
85,Caltanissetta,1880,10849,41.29
87,Catania,1880,20441,36.72
89,Siracusa,1880,12473,37.04
90,Sassari,1880,9576,36.93
92,Cagliari,1880,14131,33.82
1,Torino,1881,34515,33.54
3,Novara,1881,24091,35.65
4,Cuneo,1881,24077,37.9
6,Alessandria,1881,28548,39.12
8,Porto Maurizio,1881,4310,32.59
10,Genova,1881,25900,34.08
13,Como,1881,18973,36.84
14,Sondrio,1881,2270,19.67
15,Milano,1881,45518,40.83
16,Bergamo,1881,15584,39.88
17,Brescia,1881,16069,34.08
18,Pavia,1881,17774,37.83
19,Cremona,1881,10535,34.87
20,Mantova,1881,10192,34.47
23,Verona,1881,13547,34.38
24,Vicenza,1881,15661,39.51
25,Belluno,1881,6391,36.7
26,Treviso,1881,13795,36.72
27,Venezia,1881,12727,35.69
28,Padova,1881,15719,39.52
29,Rovigo,1881,9070,41.66
30,Udine,1881,17060,34.0
33,Piacenza,1881,8359,36.87
34,Parma,1881,9552,35.74
35,Reggio nell'Emilia,1881,9066,37.02
36,Modena,1881,10677,38.24
37,Bologna,1881,15384,33.63
38,Ferrara,1881,9093,39.4
39,Ravenna,1881,7064,31.29
40,Forlì,1881,10514,41.87
41,Pesaro e Urbino,1881,8681,38.92
42,Ancona,1881,10179,38.08
43,Macerata,1881,8616,35.95
44,Ascoli Piceno,1881,7705,36.83
45,Massa e Carrara,1881,6712,39.62
46,Lucca,1881,10304,36.22
48,Firenze,1881,30235,38.24
49,Livorno,1881,3510,28.87
50,Pisa,1881,10635,37.51
51,Arezzo,1881,9461,39.63
52,Siena,1881,7695,37.37
53,Grosseto,1881,4200,36.75
54,Umbria,1881,21203,37.07
58,Roma,1881,31298,34.68
61,Caserta,1881,26521,37.14
62,Benevento,1881,9982,41.87
63,Napoli,1881,36056,36.02
64,Avellino,1881,15826,40.31
65,Salerno,1881,20662,37.56
66,Aquila degli Abruzzi,1881,13707,38.83
67,Teramo,1881,9415,36.95
69,Chieti,1881,14307,41.6
70,Campobasso,1881,16183,44.29
71,Foggia,1881,15888,44.6
72,Bari delle Puglie,1881,29884,43.99
75,Lecce,1881,22351,40.4
76,Potenza,1881,22959,43.77
78,Cosenza,1881,17784,39.42
79,Catanzaro,1881,16390,37.77
80,Reggio di Calabria,1881,13750,36.89
81,Trapani,1881,11989,42.22
82,Palermo,1881,28146,40.27
83,Messina,1881,16731,36.33
84,Girgenti,1881,14513,46.46
85,Caltanissetta,1881,12022,45.13
87,Catania,1881,21772,38.64
89,Siracusa,1881,14245,41.71
90,Sassari,1881,9958,38.14
92,Cagliari,1881,14882,35.38
1,Torino,1901,29710,26.44
3,Novara,1901,22243,29.95
4,Cuneo,1901,20356,31.94
6,Alessandria,1901,25294,31.19
8,Porto Maurizio,1901,3383,23.71
10,Genova,1901,26371,28.24
13,Como,1901,20036,34.56
14,Sondrio,1901,3983,31.75
15,Milano,1901,52389,36.35
16,Bergamo,1901,18969,41.32
17,Brescia,1901,18665,34.7
18,Pavia,1901,15470,31.16
19,Cremona,1901,10779,32.89
20,Mantova,1901,10288,33.0
23,Verona,1901,13617,32.25
24,Vicenza,1901,16440,36.74
25,Belluno,1901,7488,38.84
26,Treviso,1901,16366,39.77
27,Venezia,1901,13773,34.3
28,Padova,1901,16817,37.97
29,Rovigo,1901,8957,40.38
30,Udine,1901,21932,37.03
33,Piacenza,1901,8083,32.99
34,Parma,1901,9793,33.31
35,Reggio nell'Emilia,1901,10255,37.38
36,Modena,1901,11153,35.33
37,Bologna,1901,16035,30.42
38,Ferrara,1901,10374,38.21
39,Ravenna,1901,6128,26.03
40,Forlì,1901,9610,34.24
41,Pesaro e Urbino,1901,8692,34.24
42,Ancona,1901,9824,32.54
43,Macerata,1901,7891,30.43
44,Ascoli Piceno,1901,7674,31.33
45,Massa e Carrara,1901,7101,36.37
46,Lucca,1901,9481,29.7
48,Firenze,1901,28432,30.29
49,Livorno,1901,3082,24.88
50,Pisa,1901,9890,30.86
51,Arezzo,1901,8722,32.12
52,Siena,1901,6587,28.19
53,Grosseto,1901,4418,30.58
54,Umbria,1901,19233,28.84
58,Roma,1901,33272,27.81
61,Caserta,1901,24035,30.63
62,Benevento,1901,7941,30.99
63,Napoli,1901,35616,30.95
64,Avellino,1901,12912,32.09
65,Salerno,1901,17039,30.21
66,Aquila degli Abruzzi,1901,13960,35.23
67,Teramo,1901,9719,31.67
69,Chieti,1901,11726,31.65
70,Campobasso,1901,11918,32.53
71,Foggia,1901,14485,34.06
72,Bari delle Puglie,1901,29750,36.04
75,Lecce,1901,22694,32.15
76,Potenza,1901,16928,34.53
78,Cosenza,1901,15400,33.14
79,Catanzaro,1901,15470,32.5
80,Reggio di Calabria,1901,14351,33.5
81,Trapani,1901,11883,32.33
82,Palermo,1901,24998,31.88
83,Messina,1901,16973,31.24
84,Girgenti,1901,14427,38.9
85,Caltanissetta,1901,12750,38.95
87,Catania,1901,24348,34.57
89,Siracusa,1901,15496,36.3
90,Sassari,1901,9820,31.92
92,Cagliari,1901,14768,30.58
1,Torino,1911,25932,21.4
3,Novara,1911,17071,22.58
4,Cuneo,1911,18134,28.06
6,Alessandria,1911,20120,25.24
8,Porto Maurizio,1911,3032,20.73
10,Genova,1911,26223,25.02
13,Como,1911,19097,31.01
14,Sondrio,1911,4218,32.51
15,Milano,1911,55618,32.22
16,Bergamo,1911,22113,43.25
17,Brescia,1911,21329,35.95
18,Pavia,1911,12620,24.67
19,Cremona,1911,10907,31.27
20,Mantova,1911,11388,32.63
23,Verona,1911,14964,31.52
24,Vicenza,1911,18034,36.35
25,Belluno,1911,7103,36.86
26,Treviso,1911,18706,38.1
27,Venezia,1911,17131,36.73
28,Padova,1911,19740,38.02
29,Rovigo,1911,10200,39.57
30,Udine,1911,24613,39.23
33,Piacenza,1911,8333,32.63
34,Parma,1911,10785,33.1
35,Reggio nell'Emilia,1911,11890,38.32
36,Modena,1911,13027,36.91
37,Bologna,1911,17582,30.43
38,Ferrara,1911,11937,38.79
39,Ravenna,1911,6869,27.67
40,Forlì,1911,10956,36.35
41,Pesaro e Urbino,1911,8950,34.27
42,Ancona,1911,10594,33.14
43,Macerata,1911,8224,31.9
44,Ascoli Piceno,1911,7988,31.51
45,Massa e Carrara,1911,7213,33.98
46,Lucca,1911,9084,27.28
48,Firenze,1911,26587,26.62
49,Livorno,1911,3330,24.56
50,Pisa,1911,9343,27.32
51,Arezzo,1911,8856,31.26
52,Siena,1911,6553,27.13
53,Grosseto,1911,4555,31.06
54,Umbria,1911,20666,30.23
58,Roma,1911,38867,29.68
61,Caserta,1911,24479,31.05
62,Benevento,1911,7913,31.31
63,Napoli,1911,39316,30.2
64,Avellino,1911,12679,32.18
65,Salerno,1911,17775,31.96
66,Aquila degli Abruzzi,1911,12226,30.15
67,Teramo,1911,9192,29.91
69,Chieti,1911,10681,29.27
70,Campobasso,1911,10816,31.15
71,Foggia,1911,16615,35.63
72,Bari delle Puglie,1911,32806,36.83
75,Lecce,1911,28518,37.0
76,Potenza,1911,16884,35.95
78,Cosenza,1911,16290,34.99
79,Catanzaro,1911,15673,32.59
80,Reggio di Calabria,1911,16236,36.6
81,Trapani,1911,10584,30.26
82,Palermo,1911,25016,31.5
83,Messina,1911,16210,31.58
84,Girgenti,1911,14368,36.97
85,Caltanissetta,1911,12637,37.34
87,Catania,1911,24274,31.0
89,Siracusa,1911,15523,33.13
90,Sassari,1911,10685,32.24
92,Cagliari,1911,16597,31.98
1,Torino,1921,23283,18.62
3,Novara,1921,13565,18.76
4,Cuneo,1921,15339,24.67
6,Alessandria,1921,16226,20.84
8,Porto Maurizio,1921,2856,19.04
10,Genova,1921,25060,21.39
13,Como,1921,15918,25.31
14,Sondrio,1921,4017,30.7
15,Milano,1921,46982,24.68
16,Bergamo,1921,23130,41.72
17,Brescia,1921,22379,34.44
18,Pavia,1921,9664,19.68
19,Cremona,1921,10216,28.63
20,Mantova,1921,11390,30.28
23,Verona,1921,15323,29.63
24,Vicenza,1921,18329,33.57
25,Belluno,1921,8476,37.18
26,Treviso,1921,20066,36.66
27,Venezia,1921,17938,34.63
28,Padova,1921,20192,34.43
29,Rovigo,1921,11083,38.66
30,Udine,1921,24773,34.52
33,Piacenza,1921,7417,26.44
34,Parma,1921,9912,28.86
35,Reggio nell'Emilia,1921,11527,33.46
36,Modena,1921,13648,34.59
37,Bologna,1921,17286,26.93
38,Ferrara,1921,12509,36.21
39,Ravenna,1921,6533,25.46
40,Forlì,1921,11596,35.2
41,Pesaro e Urbino,1921,9665,34.59
42,Ancona,1921,10597,31.76
43,Macerata,1921,8545,32.13
44,Ascoli Piceno,1921,8589,32.53
45,Massa e Carrara,1921,8053,36.06
46,Lucca,1921,9618,27.91
48,Firenze,1921,27533,26.58
49,Livorno,1921,3478,24.29
50,Pisa,1921,9748,27.13
51,Arezzo,1921,9930,33.46
52,Siena,1921,7214,29.23
53,Grosseto,1921,5259,32.19
54,Umbria,1921,24812,33.82
58,Roma,1921,45058,30.05
61,Caserta,1921,29635,36.3
62,Benevento,1921,9082,34.16
63,Napoli,1921,46557,31.86
64,Avellino,1921,14797,36.92
65,Salerno,1921,20646,35.76
66,Aquila degli Abruzzi,1921,13877,35.39
67,Teramo,1921,11003,34.39
69,Chieti,1921,13530,36.14
70,Campobasso,1921,12205,36.03
71,Foggia,1921,17796,39.13
72,Bari delle Puglie,1921,33083,34.99
75,Lecce,1921,31563,35.97
76,Potenza,1921,17750,38.0
78,Cosenza,1921,18342,37.31
79,Catanzaro,1921,19521,38.42
80,Reggio di Calabria,1921,16922,35.26
81,Trapani,1921,9403,23.17
82,Palermo,1921,23473,27.5
83,Messina,1921,16869,29.29
84,Girgenti,1921,12123,29.61
85,Caltanissetta,1921,10642,27.83
87,Catania,1921,23957,27.55
89,Siracusa,1921,14605,27.72
90,Sassari,1921,9940,30.07
92,Cagliari,1921,16261,30.92
1,Torino,1931,17311,15.07
2,Vercelli,1931,5259,14.63
3,Novara,1931,6439,16.54
4,Cuneo,1931,12845,20.73
6,Alessandria,1931,11497,15.21
7,Aosta,1931,4026,17.81
8,Porto Maurizio,1931,2562,15.78
9,Savona,1931,3692,16.71
10,Genova,1931,12141,14.61
11,La Spezia,1931,4064,18.31
12,Varese,1931,6832,17.87
13,Como,1931,10454,21.46
14,Sondrio,1931,3587,26.82
15,Milano,1931,39383,19.68
16,Bergamo,1931,18811,32.17
17,Brescia,1931,20831,29.32
18,Pavia,1931,7768,16.12
19,Cremona,1931,8330,20.78
20,Mantova,1931,8971,22.56
21,Bolzano,1931,6440,23.89
22,Trento,1931,8032,20.57
23,Verona,1931,13005,23.09
24,Vicenza,1931,13886,26.29
25,Belluno,1931,4846,23.04
26,Treviso,1931,14770,26.34
27,Venezia,1931,16267,27.37
28,Padova,1931,13177,20.85
29,Rovigo,1931,10193,32.29
30,Udine,1931,15219,21.19
31,Gorizia,1931,4105,20.0
32,Fiume,1931,2021,
33,Piacenza,1931,6185,21.3
34,Parma,1931,7268,19.45
35,Reggio nell'Emilia,1931,8183,22.68
36,Modena,1931,10854,24.21
37,Bologna,1931,12644,18.51
38,Ferrara,1931,9341,25.48
39,Ravenna,1931,4302,15.84
40,Forlì,1931,10380,24.04
41,Pesaro e Urbino,1931,8039,27.31
42,Ancona,1931,8729,24.46
43,Macerata,1931,6991,25.18
44,Ascoli Piceno,1931,7737,26.79
45,Massa e Carrara,1931,4673,24.64
46,Lucca,1931,6658,19.59
47,Pistoia,1931,3802,18.79
48,Firenze,1931,14076,16.76
49,Livorno,1931,4425,18.01
50,Pisa,1931,6181,18.44
51,Arezzo,1931,7582,25.18
52,Siena,1931,5212,20.0
53,Grosseto,1931,3834,21.66
54,Umbria,1931,13253,25.74
55,Terni,1931,4002,22.36
56,Viterbo,1931,5236,22.77
57,Rieti,1931,4231,25.81
58,Roma,1931,37826,24.01
60,Frosinone,1931,13338,32.25
62,Benevento,1931,10548,31.88
63,Napoli,1931,63157,30.45
64,Avellino,1931,14569,34.64
65,Salerno,1931,21740,33.05
66,Aquila degli Abruzzi,1931,9911,28.78
67,Teramo,1931,7061,31.19
68,Pescara,1931,5599,28.94
69,Chieti,1931,10699,29.08
70,Campobasso,1931,11759,31.16
71,Foggia,1931,16410,32.47
72,Bari delle Puglie,1931,31545,33.25
73,Taranto,1931,9805,32.38
74,Brindisi,1931,7562,31.23
75,Lecce,1931,16444,33.76
76,Potenza,1931,12413,35.4
77,Matera,1931,5393,35.02
78,Cosenza,1931,18191,33.35
79,Catanzaro,1931,19241,33.62
80,Reggio di Calabria,1931,17010,30.96
81,Trapani,1931,8764,23.41
82,Palermo,1931,23641,28.09
83,Messina,1931,15933,26.52
84,Girgenti,1931,13019,32.65
85,Caltanissetta,1931,8296,33.8
86,Enna,1931,6556,29.03
87,Catania,1931,19184,27.99
88,Ragusa,1931,6116,25.72
89,Siracusa,1931,7238,25.47
90,Sassari,1931,8048,27.8
91,Nuoro,1931,6089,29.38
92,Cagliari,1931,13949,29.31
6,Alessandria,1894,26855,34.32
42,Ancona,1894,10915,37.66
66,Aquila,1894,14890,39.07
51,Arezzo,1894,9717,37.37
44,AscoliPiceno,1894,8402,36.15
64,Avellino,1894,15760,39.5
72,Bari,1894,32358,41.79
25,Belluno,1894,6984,37.5
62,Benevento,1894,9701,38.8
16,Bergamo,1894,16720,38.42
37,Bologna,1894,17067,33.95
17,Brescia,1894,17599,34.19
92,Cagliari,1894,15209,32.98
85,Caltanissetta,1894,11508,37.61
70,Campobasso,1894,14984,40.94
61,Caserta,1894,28308,37.25
87,Catania,1894,23207,35.43
79,Catanzaro,1894,17723,38.42
69,Chieti,1894,13641,37.77
13,Como,1894,18271,32.79
78,Cosenza,1894,18031,39.2
19,Cremona,1894,10958,34.38
4,Cuneo,1894,20767,32.62
38,Ferrara,1894,10184,39.59
48,Firenze,1894,29999,33.83
71,Foggia,1894,16077,40.08
40,Forli,1894,10934,40.45
10,Genova,1894,27025,30.96
84,Girgenti,1894,14219,40.58
53,Grosseto,1894,4599,34.34
75,Lecce,1894,24974,38.28
49,Livorno,1894,3209,26.08
46,Lucca,1894,10010,32.6
43,Macerata,1894,9291,36.81
20,Mantova,1894,10414,34.02
45,MassaCarrara,1894,7586,40.74
83,Messina,1894,18783,36.52
15,Milano,1894,48309,36.41
36,Modena,1894,11330,37.4
63,Napoli,1894,38525,35.08
3,Novara,1894,22728,31.6
28,Padova,1894,15682,36.72
82,Palermo,1894,26378,34.97
34,Parma,1894,9993,35.11
18,Pavia,1894,16287,33.43
54,Perugia,1894,21904,34.56
41,PesaroUrbino,1894,9477,38.99
33,Piacenza,1894,7825,32.79
50,Pisa,1894,10068,32.74
8,PortoMaurizio,1894,3755,27.0
76,Potenza,1894,19480,38.79
39,Ravenna,1894,7057,30.41
80,ReggioCalabria,1894,15543,38.01
35,ReggioEmilia,1894,10404,39.4
58,Roma,1894,36309,33.2
29,Rovigo,1894,8699,39.48
65,Salerno,1894,20234,36.18
90,Sassari,1894,9780,33.56
52,Siena,1894,7260,32.41
89,Siracusa,1894,15410,38.82
67,Teramo,1894,10052,34.82
1,Torino,1894,30727,28.18
81,Trapani,1894,11220,33.17
26,Treviso,1894,15336,38.44
30,Udine,1894,19975,35.63
27,Venezia,1894,13657,35.4
23,Verona,1894,13551,32.86
24,Vicenza,1894,15586,36.28
