COD_PROV,year,marriages,nuptiality
66,1863,11270,9.2
67,1863,11270,9.2
68,1863,11270,9.2
69,1863,11270,9.2
70,1863,11270,9.2
66,1864,10394,8.44
67,1864,10394,8.44
68,1864,10394,8.44
69,1864,10394,8.44
70,1864,10394,8.44
66,1865,11950,9.65
67,1865,11950,9.65
68,1865,11950,9.65
69,1865,11950,9.65
70,1865,11950,9.65
66,1866,9388,7.55
67,1866,9388,7.55
68,1866,9388,7.55
69,1866,9388,7.55
70,1866,9388,7.55
66,1867,9430,7.54
67,1867,9430,7.54
68,1867,9430,7.54
69,1867,9430,7.54
70,1867,9430,7.54
66,1868,9972,7.94
67,1868,9972,7.94
68,1868,9972,7.94
69,1868,9972,7.94
70,1868,9972,7.94
66,1869,10822,8.57
67,1869,10822,8.57
68,1869,10822,8.57
69,1869,10822,8.57
70,1869,10822,8.57
66,1870,9580,7.55
67,1870,9580,7.55
68,1870,9580,7.55
69,1870,9580,7.55
70,1870,9580,7.55
66,1871,11106,8.71
67,1871,11106,8.71
68,1871,11106,8.71
69,1871,11106,8.71
70,1871,11106,8.71
66,1872,10189,7.97
67,1872,10189,7.97
68,1872,10189,7.97
69,1872,10189,7.97
70,1872,10189,7.97
66,1873,11807,9.2
67,1873,11807,9.2
68,1873,11807,9.2
69,1873,11807,9.2
70,1873,11807,9.2
66,1874,10854,8.43
67,1874,10854,8.43
68,1874,10854,8.43
69,1874,10854,8.43
70,1874,10854,8.43
66,1875,12193,9.44
67,1875,12193,9.44
68,1875,12193,9.44
69,1875,12193,9.44
70,1875,12193,9.44
66,1876,11522,8.89
67,1876,11522,8.89
68,1876,11522,8.89
69,1876,11522,8.89
70,1876,11522,8.89
66,1877,12002,9.23
67,1877,12002,9.23
68,1877,12002,9.23
69,1877,12002,9.23
70,1877,12002,9.23
66,1878,11569,8.87
67,1878,11569,8.87
68,1878,11569,8.87
69,1878,11569,8.87
70,1878,11569,8.87
66,1879,11469,8.77
67,1879,11469,8.77
68,1879,11469,8.77
69,1879,11469,8.77
70,1879,11469,8.77
66,1880,10039,7.65
67,1880,10039,7.65
68,1880,10039,7.65
69,1880,10039,7.65
70,1880,10039,7.65
66,1881,13105,9.95
67,1881,13105,9.95
68,1881,13105,9.95
69,1881,13105,9.95
70,1881,13105,9.95
66,1882,10516,9.86
67,1882,10516,9.86
68,1882,10516,9.86
69,1882,10516,9.86
70,1882,10516,9.86
66,1883,7080,7.28
67,1883,7080,7.28
68,1883,7080,7.28
69,1883,7080,7.28
70,1883,7080,7.28
66,1885,12186,9.08
67,1885,12186,9.08
68,1885,12186,9.08
69,1885,12186,9.08
70,1885,12186,9.08
66,1887,1801,1.33
67,1887,1801,1.33
68,1887,1801,1.33
69,1887,1801,1.33
70,1887,1801,1.33
66,1890,11459,8.35
67,1890,11459,8.35
68,1890,11459,8.35
69,1890,11459,8.35
70,1890,11459,8.35
66,1891,11836,8.59
67,1891,11836,8.59
68,1891,11836,8.59
69,1891,11836,8.59
70,1891,11836,8.59
66,1894,11974,8.57
67,1894,11974,8.57
68,1894,11974,8.57
69,1894,11974,8.57
70,1894,11974,8.57
66,1897,25481,18.0
67,1897,25481,18.0
68,1897,25481,18.0
69,1897,25481,18.0
70,1897,25481,18.0
66,1898,14817,14.36
67,1898,14817,14.36
68,1898,14817,14.36
69,1898,14817,14.36
70,1898,14817,14.36
66,1900,2387,2.24
67,1900,2387,2.24
68,1900,2387,2.24
69,1900,2387,2.24
70,1900,2387,2.24
66,1901,11482,7.97
67,1901,11482,7.97
68,1901,11482,7.97
69,1901,11482,7.97
70,1901,11482,7.97
66,1911,10587,7.43
67,1911,10587,7.43
68,1911,10587,7.43
69,1911,10587,7.43
70,1911,10587,7.43
66,1921,16602,11.65
67,1921,16602,11.65
68,1921,16602,11.65
69,1921,16602,11.65
70,1921,16602,11.65
66,1931,10789,7.14
67,1931,10789,7.14
68,1931,10789,7.14
69,1931,10789,7.14
70,1931,10789,7.14
76,1863,4940,9.95
77,1863,4940,9.95
76,1864,4684,9.4
77,1864,4684,9.4
76,1865,5236,10.47
77,1865,5236,10.47
76,1866,4126,8.22
77,1866,4126,8.22
76,1867,4765,9.46
77,1867,4765,9.46
76,1868,4642,9.19
77,1868,4642,9.19
76,1869,4814,9.49
77,1869,4814,9.49
76,1870,3886,7.64
77,1870,3886,7.64
76,1871,4315,8.45
77,1871,4315,8.45
76,1872,4995,9.76
77,1872,4995,9.76
76,1873,5177,10.08
77,1873,5177,10.08
76,1874,4736,9.2
77,1874,4736,9.2
76,1875,5002,9.69
77,1875,5002,9.69
76,1876,5300,10.24
77,1876,5300,10.24
76,1877,5564,10.72
77,1877,5564,10.72
76,1878,4945,9.5
77,1878,4945,9.5
76,1879,4791,9.18
77,1879,4791,9.18
76,1880,4556,8.71
77,1880,4556,8.71
76,1881,5436,10.36
77,1881,5436,10.36
76,1882,5122,9.8
77,1882,5122,9.8
76,1883,3727,7.15
77,1883,3727,7.15
76,1885,4103,7.93
77,1885,4103,7.93
76,1887,626,1.22
77,1887,626,1.22
76,1890,4292,8.43
77,1890,4292,8.43
76,1891,4479,8.83
77,1891,4479,8.83
76,1894,4524,9.01
77,1894,4524,9.01
76,1897,266,0.54
77,1897,266,0.54
76,1900,4019,8.17
77,1900,4019,8.17
76,1901,3548,7.24
77,1901,3548,7.24
76,1911,3788,8.06
77,1911,3788,8.06
76,1921,5885,12.6
77,1921,5885,12.6
76,1931,3824,7.58
77,1931,3824,7.58
78,1863,9265,7.99
79,1863,9265,7.99
80,1863,9265,7.99
78,1864,9244,7.93
79,1864,9244,7.93
80,1864,9244,7.93
78,1865,11576,9.87
79,1865,11576,9.87
80,1865,11576,9.87
78,1866,6995,5.94
79,1866,6995,5.94
80,1866,6995,5.94
78,1867,8537,7.21
79,1867,8537,7.21
80,1867,8537,7.21
78,1868,6922,5.81
79,1868,6922,5.81
80,1868,6922,5.81
78,1869,10660,8.91
79,1869,10660,8.91
80,1869,10660,8.91
78,1870,8599,7.14
79,1870,8599,7.14
80,1870,8599,7.14
78,1871,9826,8.12
79,1871,9826,8.12
80,1871,9826,8.12
78,1872,9287,7.65
79,1872,9287,7.65
80,1872,9287,7.65
78,1873,11034,9.05
79,1873,11034,9.05
80,1873,11034,9.05
78,1874,9433,7.7
79,1874,9433,7.7
80,1874,9433,7.7
78,1875,10947,8.9
79,1875,10947,8.9
80,1875,10947,8.9
78,1876,10443,8.47
79,1876,10443,8.47
80,1876,10443,8.47
78,1877,10778,8.7
79,1877,10778,8.7
80,1877,10778,8.7
78,1878,8318,6.69
79,1878,8318,6.69
80,1878,8318,6.69
78,1879,9663,7.74
79,1879,9663,7.74
80,1879,9663,7.74
78,1880,8545,6.82
79,1880,8545,6.82
80,1880,8545,6.82
78,1881,11497,9.14
79,1881,11497,9.14
80,1881,11497,9.14
78,1882,6881,8.32
79,1882,6881,8.32
80,1882,6881,8.32
78,1883,4941,3.9
79,1883,4941,3.9
80,1883,4941,3.9
78,1885,11437,8.94
79,1885,11437,8.94
80,1885,11437,8.94
78,1887,1244,0.97
79,1887,1244,0.97
80,1887,1244,0.97
78,1890,10766,8.23
79,1890,10766,8.23
80,1890,10766,8.23
78,1891,11756,8.95
79,1891,11756,8.95
80,1891,11756,8.95
78,1894,11684,8.79
79,1894,11684,8.79
80,1894,11684,8.79
78,1897,645,0.7
79,1897,645,0.7
80,1897,645,0.7
78,1898,15915,11.77
79,1898,15915,11.77
80,1898,15915,11.77
78,1900,9877,7.24
79,1900,9877,7.24
80,1900,9877,7.24
78,1901,9840,7.19
79,1901,9840,7.19
80,1901,9840,7.19
78,1911,10276,7.4
79,1911,10276,7.4
80,1911,10276,7.4
78,1921,18149,12.27
79,1921,18149,12.27
80,1921,18149,12.27
78,1931,11408,6.84
79,1931,11408,6.84
80,1931,11408,6.84
61,1863,22912,8.78
62,1863,22912,8.78
63,1863,22912,8.78
64,1863,22912,8.78
65,1863,22912,8.78
61,1864,20756,7.9
62,1864,20756,7.9
63,1864,20756,7.9
64,1864,20756,7.9
65,1864,20756,7.9
61,1865,24409,9.22
62,1865,24409,9.22
63,1865,24409,9.22
64,1865,24409,9.22
65,1865,24409,9.22
61,1866,16099,6.04
62,1866,16099,6.04
63,1866,16099,6.04
64,1866,16099,6.04
65,1866,16099,6.04
61,1867,19170,7.15
62,1867,19170,7.15
63,1867,19170,7.15
64,1867,19170,7.15
65,1867,19170,7.15
61,1868,18873,6.99
62,1868,18873,6.99
63,1868,18873,6.99
64,1868,18873,6.99
65,1868,18873,6.99
61,1869,23457,8.63
62,1869,23457,8.63
63,1869,23457,8.63
64,1869,23457,8.63
65,1869,23457,8.63
61,1870,20942,7.65
62,1870,20942,7.65
63,1870,20942,7.65
64,1870,20942,7.65
65,1870,20942,7.65
61,1871,21544,7.82
62,1871,21544,7.82
63,1871,21544,7.82
64,1871,21544,7.82
65,1871,21544,7.82
61,1872,22479,8.12
62,1872,22479,8.12
63,1872,22479,8.12
64,1872,22479,8.12
65,1872,22479,8.12
61,1873,23840,8.57
62,1873,23840,8.57
63,1873,23840,8.57
64,1873,23840,8.57
65,1873,23840,8.57
61,1874,22576,8.07
62,1874,22576,8.07
63,1874,22576,8.07
64,1874,22576,8.07
65,1874,22576,8.07
61,1875,25020,8.9
62,1875,25020,8.9
63,1875,25020,8.9
64,1875,25020,8.9
65,1875,25020,8.9
61,1876,25024,8.86
62,1876,25024,8.86
63,1876,25024,8.86
64,1876,25024,8.86
65,1876,25024,8.86
61,1877,24559,8.65
62,1877,24559,8.65
63,1877,24559,8.65
64,1877,24559,8.65
65,1877,24559,8.65
61,1878,20840,7.3
62,1878,20840,7.3
63,1878,20840,7.3
64,1878,20840,7.3
65,1878,20840,7.3
61,1879,21842,7.61
62,1879,21842,7.61
63,1879,21842,7.61
64,1879,21842,7.61
65,1879,21842,7.61
61,1880,21390,7.42
62,1880,21390,7.42
63,1880,21390,7.42
64,1880,21390,7.42
65,1880,21390,7.42
61,1881,26087,9.01
62,1881,26087,9.01
63,1881,26087,9.01
64,1881,26087,9.01
65,1881,26087,9.01
61,1882,13304,9.85
62,1882,13304,9.85
63,1882,13304,9.85
64,1882,13304,9.85
65,1882,13304,9.85
61,1883,9668,4.08
62,1883,9668,4.08
63,1883,9668,4.08
64,1883,9668,4.08
65,1883,9668,4.08
61,1885,27143,9.21
62,1885,27143,9.21
63,1885,27143,9.21
64,1885,27143,9.21
65,1885,27143,9.21
61,1887,2992,1.01
62,1887,2992,1.01
63,1887,2992,1.01
64,1887,2992,1.01
65,1887,2992,1.01
61,1890,23790,7.89
62,1890,23790,7.89
63,1890,23790,7.89
64,1890,23790,7.89
65,1890,23790,7.89
61,1891,23453,7.75
62,1891,23453,7.75
63,1891,23453,7.75
64,1891,23453,7.75
65,1891,23453,7.75
61,1894,24119,7.87
62,1894,24119,7.87
63,1894,24119,7.87
64,1894,24119,7.87
65,1894,24119,7.87
61,1897,53858,17.34
62,1897,53858,17.34
63,1897,53858,17.34
64,1897,53858,17.34
65,1897,53858,17.34
61,1898,37602,12.06
62,1898,37602,12.06
63,1898,37602,12.06
64,1898,37602,12.06
65,1898,37602,12.06
61,1900,11463,3.65
62,1900,11463,3.65
63,1900,11463,3.65
64,1900,11463,3.65
65,1900,11463,3.65
61,1901,22016,6.97
62,1901,22016,6.97
63,1901,22016,6.97
64,1901,22016,6.97
65,1901,22016,6.97
61,1911,24430,7.42
62,1911,24430,7.42
63,1911,24430,7.42
64,1911,24430,7.42
65,1911,24430,7.42
61,1921,39533,11.22
62,1921,39533,11.22
63,1921,39533,11.22
64,1921,39533,11.22
65,1921,39533,11.22
61,1931,21937,6.3
62,1931,21937,6.3
63,1931,21937,6.3
64,1931,21937,6.3
65,1931,21937,6.3
33,1863,15087,7.44
34,1863,15087,7.44
35,1863,15087,7.44
36,1863,15087,7.44
37,1863,15087,7.44
38,1863,15087,7.44
39,1863,15087,7.44
40,1863,15087,7.44
33,1864,14904,7.31
34,1864,14904,7.31
35,1864,14904,7.31
36,1864,14904,7.31
37,1864,14904,7.31
38,1864,14904,7.31
39,1864,14904,7.31
40,1864,14904,7.31
33,1865,16612,8.1
34,1865,16612,8.1
35,1865,16612,8.1
36,1865,16612,8.1
37,1865,16612,8.1
38,1865,16612,8.1
39,1865,16612,8.1
40,1865,16612,8.1
33,1866,8742,4.24
34,1866,8742,4.24
35,1866,8742,4.24
36,1866,8742,4.24
37,1866,8742,4.24
38,1866,8742,4.24
39,1866,8742,4.24
40,1866,8742,4.24
33,1867,10978,5.3
34,1867,10978,5.3
35,1867,10978,5.3
36,1867,10978,5.3
37,1867,10978,5.3
38,1867,10978,5.3
39,1867,10978,5.3
40,1867,10978,5.3
33,1868,12987,6.24
34,1868,12987,6.24
35,1868,12987,6.24
36,1868,12987,6.24
37,1868,12987,6.24
38,1868,12987,6.24
39,1868,12987,6.24
40,1868,12987,6.24
33,1869,13486,6.44
34,1869,13486,6.44
35,1869,13486,6.44
36,1869,13486,6.44
37,1869,13486,6.44
38,1869,13486,6.44
39,1869,13486,6.44
40,1869,13486,6.44
33,1870,13577,6.45
34,1870,13577,6.45
35,1870,13577,6.45
36,1870,13577,6.45
37,1870,13577,6.45
38,1870,13577,6.45
39,1870,13577,6.45
40,1870,13577,6.45
33,1871,12516,5.92
34,1871,12516,5.92
35,1871,12516,5.92
36,1871,12516,5.92
37,1871,12516,5.92
38,1871,12516,5.92
39,1871,12516,5.92
40,1871,12516,5.92
33,1872,13057,6.15
34,1872,13057,6.15
35,1872,13057,6.15
36,1872,13057,6.15
37,1872,13057,6.15
38,1872,13057,6.15
39,1872,13057,6.15
40,1872,13057,6.15
33,1873,14821,6.96
34,1873,14821,6.96
35,1873,14821,6.96
36,1873,14821,6.96
37,1873,14821,6.96
38,1873,14821,6.96
39,1873,14821,6.96
40,1873,14821,6.96
33,1874,15099,7.07
34,1874,15099,7.07
35,1874,15099,7.07
36,1874,15099,7.07
37,1874,15099,7.07
38,1874,15099,7.07
39,1874,15099,7.07
40,1874,15099,7.07
33,1875,16008,7.47
34,1875,16008,7.47
35,1875,16008,7.47
36,1875,16008,7.47
37,1875,16008,7.47
38,1875,16008,7.47
39,1875,16008,7.47
40,1875,16008,7.47
33,1876,16747,7.79
34,1876,16747,7.79
35,1876,16747,7.79
36,1876,16747,7.79
37,1876,16747,7.79
38,1876,16747,7.79
39,1876,16747,7.79
40,1876,16747,7.79
33,1877,14994,6.95
34,1877,14994,6.95
35,1877,14994,6.95
36,1877,14994,6.95
37,1877,14994,6.95
38,1877,14994,6.95
39,1877,14994,6.95
40,1877,14994,6.95
33,1878,13322,6.16
34,1878,13322,6.16
35,1878,13322,6.16
36,1878,13322,6.16
37,1878,13322,6.16
38,1878,13322,6.16
39,1878,13322,6.16
40,1878,13322,6.16
33,1879,15775,7.27
34,1879,15775,7.27
35,1879,15775,7.27
36,1879,15775,7.27
37,1879,15775,7.27
38,1879,15775,7.27
39,1879,15775,7.27
40,1879,15775,7.27
33,1880,14410,6.62
34,1880,14410,6.62
35,1880,14410,6.62
36,1880,14410,6.62
37,1880,14410,6.62
38,1880,14410,6.62
39,1880,14410,6.62
40,1880,14410,6.62
33,1881,14945,6.85
34,1881,14945,6.85
35,1881,14945,6.85
36,1881,14945,6.85
37,1881,14945,6.85
38,1881,14945,6.85
39,1881,14945,6.85
40,1881,14945,6.85
33,1882,23227,10.58
34,1882,23227,10.58
35,1882,23227,10.58
36,1882,23227,10.58
37,1882,23227,10.58
38,1882,23227,10.58
39,1882,23227,10.58
40,1882,23227,10.58
33,1883,6275,3.67
34,1883,6275,3.67
35,1883,6275,3.67
36,1883,6275,3.67
37,1883,6275,3.67
38,1883,6275,3.67
39,1883,6275,3.67
40,1883,6275,3.67
33,1885,16863,7.54
34,1885,16863,7.54
35,1885,16863,7.54
36,1885,16863,7.54
37,1885,16863,7.54
38,1885,16863,7.54
39,1885,16863,7.54
40,1885,16863,7.54
33,1887,3330,1.9
34,1887,3330,1.9
35,1887,3330,1.9
36,1887,3330,1.9
37,1887,3330,1.9
38,1887,3330,1.9
39,1887,3330,1.9
40,1887,3330,1.9
33,1890,16929,7.36
34,1890,16929,7.36
35,1890,16929,7.36
36,1890,16929,7.36
37,1890,16929,7.36
38,1890,16929,7.36
39,1890,16929,7.36
40,1890,16929,7.36
33,1891,16629,7.19
34,1891,16629,7.19
35,1891,16629,7.19
36,1891,16629,7.19
37,1891,16629,7.19
38,1891,16629,7.19
39,1891,16629,7.19
40,1891,16629,7.19
33,1894,17849,7.59
34,1894,17849,7.59
35,1894,17849,7.59
36,1894,17849,7.59
37,1894,17849,7.59
38,1894,17849,7.59
39,1894,17849,7.59
40,1894,17849,7.59
33,1897,25090,10.49
34,1897,25090,10.49
35,1897,25090,10.49
36,1897,25090,10.49
37,1897,25090,10.49
38,1897,25090,10.49
39,1897,25090,10.49
40,1897,25090,10.49
33,1898,27928,11.61
34,1898,27928,11.61
35,1898,27928,11.61
36,1898,27928,11.61
37,1898,27928,11.61
38,1898,27928,11.61
39,1898,27928,11.61
40,1898,27928,11.61
33,1900,14966,7.0
34,1900,14966,7.0
35,1900,14966,7.0
36,1900,14966,7.0
37,1900,14966,7.0
38,1900,14966,7.0
39,1900,14966,7.0
40,1900,14966,7.0
33,1901,18103,7.41
34,1901,18103,7.41
35,1901,18103,7.41
36,1901,18103,7.41
37,1901,18103,7.41
38,1901,18103,7.41
39,1901,18103,7.41
40,1901,18103,7.41
33,1911,20498,7.65
34,1911,20498,7.65
35,1911,20498,7.65
36,1911,20498,7.65
37,1911,20498,7.65
38,1911,20498,7.65
39,1911,20498,7.65
40,1911,20498,7.65
33,1921,32124,10.94
34,1921,32124,10.94
35,1921,32124,10.94
36,1921,32124,10.94
37,1921,32124,10.94
38,1921,32124,10.94
39,1921,32124,10.94
40,1921,32124,10.94
33,1931,22153,6.87
34,1931,22153,6.87
35,1931,22153,6.87
36,1931,22153,6.87
37,1931,22153,6.87
38,1931,22153,6.87
39,1931,22153,6.87
40,1931,22153,6.87
56,1872,2516,2.98
57,1872,2516,2.98
58,1872,2516,2.98
59,1872,2516,2.98
60,1872,2516,2.98
56,1873,3164,3.72
57,1873,3164,3.72
58,1873,3164,3.72
59,1873,3164,3.72
60,1873,3164,3.72
56,1874,3811,4.45
57,1874,3811,4.45
58,1874,3811,4.45
59,1874,3811,4.45
60,1874,3811,4.45
56,1875,4552,5.28
57,1875,4552,5.28
58,1875,4552,5.28
59,1875,4552,5.28
60,1875,4552,5.28
56,1876,4702,5.41
57,1876,4702,5.41
58,1876,4702,5.41
59,1876,4702,5.41
60,1876,4702,5.41
56,1877,5143,5.87
57,1877,5143,5.87
58,1877,5143,5.87
59,1877,5143,5.87
60,1877,5143,5.87
56,1878,5063,5.74
57,1878,5063,5.74
58,1878,5063,5.74
59,1878,5063,5.74
60,1878,5063,5.74
56,1879,5305,5.97
57,1879,5305,5.97
58,1879,5305,5.97
59,1879,5305,5.97
60,1879,5305,5.97
56,1880,5134,5.73
57,1880,5134,5.73
58,1880,5134,5.73
59,1880,5134,5.73
60,1880,5134,5.73
56,1881,7016,7.77
57,1881,7016,7.77
58,1881,7016,7.77
59,1881,7016,7.77
60,1881,7016,7.77
56,1883,3461,3.71
57,1883,3461,3.71
58,1883,3461,3.71
59,1883,3461,3.71
60,1883,3461,3.71
56,1885,7098,7.38
57,1885,7098,7.38
58,1885,7098,7.38
59,1885,7098,7.38
60,1885,7098,7.38
56,1887,589,0.59
57,1887,589,0.59
58,1887,589,0.59
59,1887,589,0.59
60,1887,589,0.59
56,1890,7353,7.11
57,1890,7353,7.11
58,1890,7353,7.11
59,1890,7353,7.11
60,1890,7353,7.11
56,1891,7242,6.9
57,1891,7242,6.9
58,1891,7242,6.9
59,1891,7242,6.9
60,1891,7242,6.9
56,1894,7095,6.49
57,1894,7095,6.49
58,1894,7095,6.49
59,1894,7095,6.49
60,1894,7095,6.49
56,1900,819,0.69
57,1900,819,0.69
58,1900,819,0.69
59,1900,819,0.69
60,1900,819,0.69
56,1901,7932,6.63
57,1901,7932,6.63
58,1901,7932,6.63
59,1901,7932,6.63
60,1901,7932,6.63
56,1911,10316,7.88
57,1911,10316,7.88
58,1911,10316,7.88
59,1911,10316,7.88
60,1911,10316,7.88
56,1921,16941,11.3
57,1921,16941,11.3
58,1921,16941,11.3
59,1921,16941,11.3
60,1921,16941,11.3
56,1931,16683,7.0
57,1931,16683,7.0
58,1931,16683,7.0
59,1931,16683,7.0
60,1931,16683,7.0
8,1863,7384,9.4
9,1863,7384,9.4
10,1863,7384,9.4
11,1863,7384,9.4
8,1864,7311,9.22
9,1864,7311,9.22
10,1864,7311,9.22
11,1864,7311,9.22
8,1865,9102,11.38
9,1865,9102,11.38
10,1865,9102,11.38
11,1865,9102,11.38
8,1866,3872,4.8
9,1866,3872,4.8
10,1866,3872,4.8
11,1866,3872,4.8
8,1867,5714,7.02
9,1867,5714,7.02
10,1867,5714,7.02
11,1867,5714,7.02
8,1868,5829,7.09
9,1868,5829,7.09
10,1868,5829,7.09
11,1868,5829,7.09
8,1869,5993,7.24
9,1869,5993,7.24
10,1869,5993,7.24
11,1869,5993,7.24
8,1870,5820,6.96
9,1870,5820,6.96
10,1870,5820,6.96
11,1870,5820,6.96
8,1871,6292,7.47
9,1871,6292,7.47
10,1871,6292,7.47
11,1871,6292,7.47
8,1872,6530,7.7
9,1872,6530,7.7
10,1872,6530,7.7
11,1872,6530,7.7
8,1873,6571,7.71
9,1873,6571,7.71
10,1873,6571,7.71
11,1873,6571,7.71
8,1874,6473,7.55
9,1874,6473,7.55
10,1874,6473,7.55
11,1874,6473,7.55
8,1875,6842,7.93
9,1875,6842,7.93
10,1875,6842,7.93
11,1875,6842,7.93
8,1876,6601,7.61
9,1876,6601,7.61
10,1876,6601,7.61
11,1876,6601,7.61
8,1877,6206,7.12
9,1877,6206,7.12
10,1877,6206,7.12
11,1877,6206,7.12
8,1878,5817,6.63
9,1878,5817,6.63
10,1878,5817,6.63
11,1878,5817,6.63
8,1879,6119,6.93
9,1879,6119,6.93
10,1879,6119,6.93
11,1879,6119,6.93
8,1880,5854,6.6
9,1880,5854,6.6
10,1880,5854,6.6
11,1880,5854,6.6
8,1881,6333,7.1
9,1881,6333,7.1
10,1881,6333,7.1
11,1881,6333,7.1
8,1882,2833,3.69
9,1882,2833,3.69
10,1882,2833,3.69
11,1882,2833,3.69
8,1883,3599,3.95
9,1883,3599,3.95
10,1883,3599,3.95
11,1883,3599,3.95
8,1885,823,6.13
9,1885,823,6.13
