province,year,emigrants,emig_eur,emig_trans,COD_PROV,DEN_PROV,source,validated
Modena,1915,1088,732,356,36,Modena,ASI1916,OK
Napoli,1915,2813,953,1860,63,Napoli,ASI1916,OK
Novara,1915,9866,9080,786,3,Novara,ASI1916,OK
Padova,1915,929,676,253,28,Padova,ASI1916,OK
Palermo,1915,3906,843,3063,82,Palermo,ASI1916,OK
Parma,1915,1626,1211,415,34,Parma,ASI1916,OK
Pavia,1915,887,378,509,18,Pavia,ASI1916,OK
Perugia,1915,1553,1035,518,54,Umbria,ASI1916,OK
Pesaro e Urbino,1915,898,360,538,41,Pesaro e Urbino,ASI1916,OK
Piacenza,1915,1621,1353,268,33,Piacenza,ASI1916,OK
Pisa,1915,914,717,197,50,Pisa,ASI1916,OK
Porto Maurizio,1915,1267,1219,48,8,Porto Maurizio,ASI1916,OK_corrected
Potenza,1915,2503,184,2319,76,Potenza,ASI1916,OK_corrected
Ravenna,1915,289,238,51,39,Ravenna,ASI1916,OK
Reggio di Calabria,1915,1599,102,1497,80,Reggio di Calabria,ASI1916,OK
Reggio nell'Emilia,1915,535,417,118,35,Reggio nell'Emilia,ASI1916,OK_corrected
Roma,1915,3761,2104,1657,58,Roma,ASI1916,OK
Rovigo,1915,160,108,52,29,Rovigo,ASI1916,OK
Salerno,1915,2721,338,2383,65,Salerno,ASI1916,OK
Sassari,1915,480,383,97,90,Sassari,ASI1916,OK
Siena,1915,124,93,31,52,Siena,ASI1916,OK
Siracusa,1915,1791,356,1435,89,Siracusa,ASI1916,OK
Sondrio,1915,3047,2674,373,14,Sondrio,ASI1916,OK
Teramo,1915,1893,55,1838,67,Teramo,ASI1916,OK
Torino,1915,8651,7348,1303,1,Torino,ASI1916,OK
Trapani,1915,3168,1581,1587,81,Trapani,ASI1916,OK
Treviso,1915,1084,626,458,26,Treviso,ASI1916,OK
Udine,1915,2231,1698,533,30,Udine,ASI1916,OK
Venezia,1915,1000,879,121,27,Venezia,ASI1916,OK
Verona,1915,1556,1261,295,23,Verona,ASI1916,OK
Vicenza,1915,1598,979,619,24,Vicenza,ASI1916,OK
Alessandria,1916,3091,2224,867,6,Alessandria,ASI1917_18,OK
Ancona,1916,589,241,348,42,Ancona,ASI1917_18,OK
Aquila degli Abruzzi,1916,3987,311,3676,66,Aquila degli Abruzzi,ASI1917_18,OK
Arezzo,1916,550,493,57,51,Arezzo,ASI1917_18,OK
Ascoli Piceno,1916,978,54,924,44,Ascoli Piceno,ASI1917_18,OK
Avellino,1916,3425,45,3380,64,Avellino,ASI1917_18,OK
Bari delle Puglie,1916,7181,1048,6133,72,Bari delle Puglie,ASI1917_18,OK
Belluno,1916,437,351,86,25,Belluno,ASI1917_18,OK
Benevento,1916,1216,13,1203,62,Benevento,ASI1917_18,OK
Bergamo,1916,3905,3725,180,16,Bergamo,ASI1917_18,OK
Bologna,1916,607,529,78,37,Bologna,ASI1917_18,OK
Brescia,1916,578,493,85,17,Brescia,ASI1917_18,OK
Cagliari,1916,465,446,19,92,Cagliari,ASI1917_18,OK
Caltanissetta,1916,1550,63,1487,85,Caltanissetta,ASI1917_18,OK
Campobasso,1916,5096,193,4903,70,Campobasso,ASI1917_18,OK
Caserta,1916,5256,1480,3776,61,Caserta,ASI1917_18,OK
Catania,1916,2366,385,1981,87,Catania,ASI1917_18,OK
Catanzaro,1916,1847,45,1802,79,Catanzaro,ASI1917_18,OK
Chieti,1916,2301,21,2280,69,Chieti,ASI1917_18,OK
Como,1916,6258,6058,200,13,Como,ASI1917_18,OK
Cosenza,1916,3123,185,2938,78,Cosenza,ASI1917_18,OK
Cremona,1916,269,254,15,19,Cremona,ASI1917_18,OK
Cuneo,1916,7887,7691,196,4,Cuneo,ASI1917_18,OK
Ferrara,1916,161,117,44,38,Ferrara,ASI1917_18,OK
Firenze,1916,2515,2283,232,48,Firenze,ASI1917_18,OK
Foggia,1916,3403,49,3354,71,Foggia,ASI1917_18,OK_corrected
Forlì,1916,542,338,204,40,Forlì,ASI1917_18,OK
Genova,1916,3073,2518,555,10,Genova,ASI1917_18,OK
Girgenti,1916,2590,86,2504,84,Girgenti,ASI1917_18,OK
Grosseto,1916,70,33,37,53,Grosseto,ASI1917_18,OK
Lecce,1916,339,129,210,75,Lecce,ASI1917_18,OK
Livorno,1916,441,406,35,49,Livorno,ASI1917_18,OK
Lucca,1916,2155,1439,716,46,Lucca,ASI1917_18,OK
Macerata,1916,435,102,333,43,Macerata,ASI1917_18,OK
Mantova,1916,419,318,101,20,Mantova,ASI1917_18,OK
Massa e Carrara,1916,1326,1130,196,45,Massa e Carrara,ASI1917_18,OK
Messina,1916,3509,214,3295,83,Messina,ASI1917_18,OK
Milano,1916,1743,1501,242,15,Milano,ASI1917_18,OK
Modena,1916,1017,820,197,36,Modena,ASI1917_18,OK
Napoli,1916,2108,690,1418,63,Napoli,ASI1917_18,OK
Novara,1916,7471,7060,411,3,Novara,ASI1917_18,OK
Padova,1916,247,173,74,28,Padova,ASI1917_18,OK
Palermo,1916,3528,616,2912,82,Palermo,ASI1917_18,OK
Parma,1916,1505,1245,260,34,Parma,ASI1917_18,OK
Pavia,1916,617,338,279,18,Pavia,ASI1917_18,OK
Perugia,1916,1745,1313,432,54,Umbria,ASI1917_18,OK
Pesaro e Urbino,1916,1005,333,672,41,Pesaro e Urbino,ASI1917_18,OK
Piacenza,1916,1157,1061,96,33,Piacenza,ASI1917_18,OK
Pisa,1916,1676,1554,122,50,Pisa,ASI1917_18,OK
Porto Maurizio,1916,2721,2707,14,8,Porto Maurizio,ASI1917_18,OK
Potenza,1916,3238,120,3118,76,Potenza,ASI1917_18,OK
Ravenna,1916,201,188,13,39,Ravenna,ASI1917_18,OK
Reggio di Calabria,1916,2116,125,1991,80,Reggio di Calabria,ASI1917_18,OK
Reggio nell'Emilia,1916,450,397,53,35,Reggio nell'Emilia,ASI1917_18,OK
Roma,1916,3480,1645,1835,58,Roma,ASI1917_18,OK
Rovigo,1916,118,60,58,29,Rovigo,ASI1917_18,OK
Salerno,1916,1620,350,1270,65,Salerno,ASI1917_18,OK
Sassari,1916,663,571,92,90,Sassari,ASI1917_18,OK
Siena,1916,150,123,27,52,Siena,ASI1917_18,OK
Siracusa,1916,3407,301,3106,89,Siracusa,ASI1917_18,OK
Sondrio,1916,716,632,84,14,Sondrio,ASI1917_18,OK
Teramo,1916,2913,22,2891,67,Teramo,ASI1917_18,OK
Torino,1916,7645,6702,943,1,Torino,ASI1917_18,OK
Trapani,1916,3123,770,2353,81,Trapani,ASI1917_18,OK
Treviso,1916,507,215,292,26,Treviso,ASI1917_18,OK
Udine,1916,518,304,214,30,Udine,ASI1917_18,OK
Venezia,1916,313,287,26,27,Venezia,ASI1917_18,OK
Verona,1916,341,256,85,23,Verona,ASI1917_18,OK
Vicenza,1916,365,235,130,24,Vicenza,ASI1917_18,OK
Alessandria,1919,4589,3164,1425,6,Alessandria,ASI1919_21,OK
Ancona,1919,1859,1086,773,42,Ancona,ASI1919_21,OK
Aquila degli Abruzzi,1919,3968,754,3214,66,Aquila degli Abruzzi,ASI1919_21,OK
Arezzo,1919,1413,1299,114,51,Arezzo,ASI1919_21,OK
Ascoli Piceno,1919,1090,102,988,44,Ascoli Piceno,ASI1919_21,OK
Avellino,1919,3130,144,2986,64,Avellino,ASI1919_21,OK
Bari delle Puglie,1919,6341,1495,4846,72,Bari delle Puglie,ASI1919_21,OK
Belluno,1919,2292,1748,544,25,Belluno,ASI1919_21,OK
Benevento,1919,1698,70,1628,62,Benevento,ASI1919_21,OK
Bergamo,1919,5097,4758,339,16,Bergamo,ASI1919_21,OK
Bologna,1919,1073,942,131,37,Bologna,ASI1919_21,OK
Brescia,1919,1349,1044,305,17,Brescia,ASI1919_21,OK
Cagliari,1919,1417,1223,194,92,Cagliari,ASI1919_21,OK
Caltanissetta,1919,2264,180,2084,85,Caltanissetta,ASI1919_21,OK
Campobasso,1919,2370,539,1831,70,Campobasso,ASI1919_21,OK
Caserta,1919,9293,4229,5064,61,Caserta,ASI1919_21,OK
Catania,1919,4619,481,4138,87,Catania,ASI1919_21,OK
Catanzaro,1919,3202,153,3049,79,Catanzaro,ASI1919_21,OK
Chieti,1919,2624,136,2488,69,Chieti,ASI1919_21,OK
Como,1919,10247,9618,629,13,Como,ASI1919_21,OK
Cosenza,1919,6088,377,5711,78,Cosenza,ASI1919_21,OK
Cremona,1919,1496,1374,122,19,Cremona,ASI1919_21,OK
Cuneo,1919,14946,14218,728,4,Cuneo,ASI1919_21,OK
Ferrara,1919,533,394,139,38,Ferrara,ASI1919_21,OK
Firenze,1919,6862,6399,463,48,Firenze,ASI1919_21,OK
Foggia,1919,1479,79,1400,71,Foggia,ASI1919_21,OK
Forlì,1919,1459,1198,261,40,Forlì,ASI1919_21,OK
Genova,1919,7962,5388,2574,10,Genova,ASI1919_21,OK
Girgenti,1919,4288,376,3912,84,Girgenti,ASI1919_21,OK
Grosseto,1919,233,107,126,53,Grosseto,ASI1919_21,OK
Lecce,1919,629,369,260,75,Lecce,ASI1919_21,OK
Livorno,1919,727,650,77,49,Livorno,ASI1919_21,OK
Lucca,1919,6282,3508,2774,46,Lucca,ASI1919_21,OK
Macerata,1919,1013,291,722,43,Macerata,ASI1919_21,OK
Mantova,1919,507,402,105,20,Mantova,ASI1919_21,OK
Massa e Carrara,1919,2645,2061,584,45,Massa e Carrara,ASI1919_21,OK
Messina,1919,4973,730,4243,83,Messina,ASI1919_21,OK
Milano,1919,4936,3865,1071,15,Milano,ASI1919_21,OK
Modena,1919,2348,1955,393,36,Modena,ASI1919_21,OK
Napoli,1919,10404,3560,6844,63,Napoli,ASI1919_21,OK
Novara,1919,14298,13198,1100,3,Novara,ASI1919_21,OK
Padova,1919,1464,1164,300,28,Padova,ASI1919_21,OK
Palermo,1919,8289,2550,5739,82,Palermo,ASI1919_21,OK
Parma,1919,3252,2762,490,34,Parma,ASI1919_21,OK
Pavia,1919,2224,981,1243,18,Pavia,ASI1919_21,OK
Perugia,1919,3627,3013,614,54,Umbria,ASI1919_21,OK
Pesaro e Urbino,1919,2143,1693,450,41,Pesaro e Urbino,ASI1919_21,OK
Piacenza,1919,2899,2524,375,33,Piacenza,ASI1919_21,OK
Pisa,1919,2412,2053,359,50,Pisa,ASI1919_21,OK
Porto Maurizio,1919,5933,5889,44,8,Porto Maurizio,ASI1919_21,OK
Potenza,1919,4047,437,3610,76,Potenza,ASI1919_21,OK_corrected
Ravenna,1919,497,426,71,39,Ravenna,ASI1919_21,OK
Reggio di Calabria,1919,2869,351,2518,80,Reggio di Calabria,ASI1919_21,OK
Reggio nell'Emilia,1919,1507,1332,175,35,Reggio nell'Emilia,ASI1919_21,OK
Roma,1919,2807,1053,1754,58,Roma,ASI1919_21,OK
Rovigo,1919,409,223,186,29,Rovigo,ASI1919_21,OK
Salerno,1919,4349,1277,3072,65,Salerno,ASI1919_21,OK
Sassari,1919,2156,1815,341,90,Sassari,ASI1919_21,OK
Siena,1919,165,136,29,52,Siena,ASI1919_21,OK
Siracusa,1919,5469,1002,4467,89,Siracusa,ASI1919_21,OK
Sondrio,1919,1932,1683,249,14,Sondrio,ASI1919_21,OK
Teramo,1919,1324,104,1220,67,Teramo,ASI1919_21,OK
Torino,1919,11615,10157,1458,1,Torino,ASI1919_21,OK
Trapani,1919,6574,3207,3367,81,Trapani,ASI1919_21,OK
Treviso,1919,2201,1458,743,26,Treviso,ASI1919_21,OK
Udine,1919,4531,3052,1479,30,Udine,ASI1919_21,OK
Venezia,1919,389,300,89,27,Venezia,ASI1919_21,OK
Verona,1919,1880,1513,367,23,Verona,ASI1919_21,OK
Vicenza,1919,2217,1572,645,24,Vicenza,ASI1919_21,OK
Alessandria,1920,7843,3695,4148,6,Alessandria,ASI1919_21,OK
Ancona,1920,4765,2325,2440,42,Ancona,ASI1919_21,OK
Aquila degli Abruzzi,1920,15777,1370,14407,66,Aquila degli Abruzzi,ASI1919_21,OK
Arezzo,1920,1560,1176,384,51,Arezzo,ASI1919_21,OK
Ascoli Piceno,1920,5372,125,5247,44,Ascoli Piceno,ASI1919_21,OK
Avellino,1920,14101,203,13898,64,Avellino,ASI1919_21,OK
Bari delle Puglie,1920,28940,2514,26426,72,Bari delle Puglie,ASI1919_21,OK
Belluno,1920,7141,5239,1902,25,Belluno,ASI1919_21,OK
Benevento,1920,7723,63,7660,62,Benevento,ASI1919_21,OK
Bergamo,1920,13292,12149,1143,16,Bergamo,ASI1919_21,OK
Bologna,1920,1752,1356,396,37,Bologna,ASI1919_21,OK
Brescia,1920,3674,2745,929,17,Brescia,ASI1919_21,OK
Cagliari,1920,3307,2938,369,92,Cagliari,ASI1919_21,OK
Caltanissetta,1920,9993,211,9782,85,Caltanissetta,ASI1919_21,OK
Campobasso,1920,11457,545,10912,70,Campobasso,ASI1919_21,OK
Caserta,1920,29436,5283,24153,61,Caserta,ASI1919_21,OK
Catania,1920,14699,750,13949,87,Catania,ASI1919_21,OK
Catanzaro,1920,15926,95,15831,79,Catanzaro,ASI1919_21,OK
Chieti,1920,12566,128,12438,69,Chieti,ASI1919_21,OK
Como,1920,15085,13965,1120,13,Como,ASI1919_21,OK
Cosenza,1920,21996,449,21547,78,Cosenza,ASI1919_21,OK
Cremona,1920,999,887,112,19,Cremona,ASI1919_21,OK
Cuneo,1920,15501,13521,1980,4,Cuneo,ASI1919_21,OK
Ferrara,1920,522,272,250,38,Ferrara,ASI1919_21,OK
Firenze,1920,5461,4567,894,48,Firenze,ASI1919_21,OK
Foggia,1920,9298,108,9190,71,Foggia,ASI1919_21,OK
Forlì,1920,2631,1791,840,40,Forlì,ASI1919_21,OK
Genova,1920,9515,5235,4280,10,Genova,ASI1919_21,OK
Girgenti,1920,15257,472,14785,84,Girgenti,ASI1919_21,OK
Grosseto,1920,461,171,290,53,Grosseto,ASI1919_21,OK
Lecce,1920,2123,260,1863,75,Lecce,ASI1919_21,OK
Livorno,1920,811,652,159,49,Livorno,ASI1919_21,OK
Lucca,1920,9576,3255,6321,46,Lucca,ASI1919_21,OK
Macerata,1920,4250,937,3313,43,Macerata,ASI1919_21,OK
Mantova,1920,1009,747,262,20,Mantova,ASI1919_21,OK
Massa e Carrara,1920,5346,3551,1795,45,Massa e Carrara,ASI1919_21,OK
Messina,1920,15608,444,15164,83,Messina,ASI1919_21,OK
Milano,1920,7121,4851,2270,15,Milano,ASI1919_21,OK
Modena,1920,2733,1862,871,36,Modena,ASI1919_21,OK
Napoli,1920,18913,2292,16621,63,Napoli,ASI1919_21,OK
Novara,1920,19170,17071,2099,3,Novara,ASI1919_21,OK
Padova,1920,4556,3924,632,28,Padova,ASI1919_21,OK
Palermo,1920,25658,1429,24229,82,Palermo,ASI1919_21,OK
Parma,1920,4407,2860,1547,34,Parma,ASI1919_21,OK
Pavia,1920,3301,1197,2104,18,Pavia,ASI1919_21,OK_corrected
Perugia,1920,5439,2956,2483,54,Umbria,ASI1919_21,OK
Pesaro e Urbino,1920,5732,3264,2468,41,Pesaro e Urbino,ASI1919_21,OK
Piacenza,1920,3547,2522,1025,33,Piacenza,ASI1919_21,OK
Pisa,1920,2685,2232,453,50,Pisa,ASI1919_21,OK
Porto Maurizio,1920,3496,3431,65,8,Porto Maurizio,ASI1919_21,OK
Potenza,1920,12324,461,11863,76,Potenza,ASI1919_21,OK
Ravenna,1920,402,320,82,39,Ravenna,ASI1919_21,OK
Reggio di Calabria,1920,13744,450,13294,80,Reggio di Calabria,ASI1919_21,OK
Reggio nell'Emilia,1920,1725,1425,300,35,Reggio nell'Emilia,ASI1919_21,OK
Roma,1920,11109,1405,9704,58,Roma,ASI1919_21,OK
Rovigo,1920,710,475,235,29,Rovigo,ASI1919_21,OK
Salerno,1920,12606,1273,11333,65,Salerno,ASI1919_21,OK
Sassari,1920,3314,2139,1175,90,Sassari,ASI1919_21,OK
Siena,1920,308,227,81,52,Siena,ASI1919_21,OK
Siracusa,1920,15277,699,14578,89,Siracusa,ASI1919_21,OK
Sondrio,1920,3355,2648,707,14,Sondrio,ASI1919_21,OK
Teramo,1920,9995,228,9767,67,Teramo,ASI1919_21,OK
Torino,1920,18025,13713,4312,1,Torino,ASI1919_21,OK
Trapani,1920,12226,1540,10686,81,Trapani,ASI1919_21,OK
Treviso,1920,6361,3529,2832,26,Treviso,ASI1919_21,OK
Udine,1920,26587,20986,5601,30,Udine,ASI1919_21,OK
Venezia,1920,1255,952,303,27,Venezia,ASI1919_21,OK
Verona,1920,4676,3249,1427,23,Verona,ASI1919_21,OK_corrected
Vicenza,1920,9081,5568,3513,24,Vicenza,ASI1919_21,OK
Alessandria,1921,3721,1228,2493,6,Alessandria,ASI1919_21,OK
Ancona,1921,1528,239,1289,42,Ancona,ASI1919_21,OK
Aquila degli Abruzzi,1921,1825,330,1495,66,Aquila degli Abruzzi,ASI1919_21,OK
Arezzo,1921,377,294,83,51,Arezzo,ASI1919_21,OK
Ascoli Piceno,1921,1259,28,1231,44,Ascoli Piceno,ASI1919_21,OK
Avellino,1921,2939,70,2869,64,Avellino,ASI1919_21,OK
Bari delle Puglie,1921,4502,632,3870,72,Bari delle Puglie,ASI1919_21,OK
Belluno,1921,2180,1127,1053,25,Belluno,ASI1919_21,OK
Benevento,1921,1698,20,1678,62,Benevento,ASI1919_21,OK
Bergamo,1921,5282,5057,225,16,Bergamo,ASI1919_21,OK
Bologna,1921,581,464,117,37,Bologna,ASI1919_21,OK
Brescia,1921,1051,661,390,17,Brescia,ASI1919_21,OK
Cagliari,1921,672,602,70,92,Cagliari,ASI1919_21,OK
Caltanissetta,1921,1177,157,1020,85,Caltanissetta,ASI1919_21,OK
Campobasso,1921,2844,150,2694,70,Campobasso,ASI1919_21,OK
Caserta,1921,5176,1042,4134,61,Caserta,ASI1919_21,OK
Catania,1921,4161,295,3866,87,Catania,ASI1919_21,OK
Catanzaro,1921,5695,46,5649,79,Catanzaro,ASI1919_21,OK
Chieti,1921,3926,40,3886,69,Chieti,ASI1919_21,OK
Como,1921,7509,6681,828,13,Como,ASI1919_21,OK_corrected
Cosenza,1921,8147,120,8027,78,Cosenza,ASI1919_21,OK
Cremona,1921,251,191,60,19,Cremona,ASI1919_21,OK
Cuneo,1921,6856,4951,1905,4,Cuneo,ASI1919_21,OK
Ferrara,1921,315,138,177,38,Ferrara,ASI1919_21,OK
Firenze,1921,3381,2978,403,48,Firenze,ASI1919_21,OK
Foggia,1921,1087,18,1069,71,Foggia,ASI1919_21,OK
Forlì,1921,397,220,177,40,Forlì,ASI1919_21,OK
Genova,1921,3751,1646,2105,10,Genova,ASI1919_21,OK
Girgenti,1921,3148,157,2991,84,Girgenti,ASI1919_21,OK
Grosseto,1921,54,33,21,53,Grosseto,ASI1919_21,OK
Lecce,1921,564,190,374,75,Lecce,ASI1919_21,OK
Livorno,1921,304,210,94,49,Livorno,ASI1919_21,OK
Lucca,1921,3754,1524,2230,46,Lucca,ASI1919_21,OK
Macerata,1921,2961,121,2840,43,Macerata,ASI1919_21,OK
Mantova,1921,383,211,172,20,Mantova,ASI1919_21,OK
Massa e Carrara,1921,1433,961,472,45,Massa e Carrara,ASI1919_21,OK
Messina,1921,4086,145,3941,83,Messina,ASI1919_21,OK
Milano,1921,3158,2107,1051,15,Milano,ASI1919_21,OK
Modena,1921,1289,855,434,36,Modena,ASI1919_21,OK
Napoli,1921,2874,886,1988,63,Napoli,ASI1919_21,OK
Novara,1921,9470,8011,1459,3,Novara,ASI1919_21,OK
Padova,1921,1010,335,675,28,Padova,ASI1919_21,OK
Palermo,1921,5143,389,4754,82,Palermo,ASI1919_21,OK
Parma,1921,1569,877,692,34,Parma,ASI1919_21,OK
Pavia,1921,1939,424,1515,18,Pavia,ASI1919_21,OK
Perugia,1921,1448,680,768,54,Umbria,ASI1919_21,OK
Pesaro e Urbino,1921,953,296,657,41,Pesaro e Urbino,ASI1919_21,OK
Piacenza,1921,958,658,300,33,Piacenza,ASI1919_21,OK
Pisa,1921,742,574,168,50,Pisa,ASI1919_21,OK
Porto Maurizio,1921,410,388,22,8,Porto Maurizio,ASI1919_21,OK
Potenza,1921,5594,126,5468,76,Potenza,ASI1919_21,OK
Ravenna,1921,80,51,29,39,Ravenna,ASI1919_21,OK
Reggio di Calabria,1921,3195,74,3121,80,Reggio di Calabria,ASI1919_21,OK
Reggio nell'Emilia,1921,403,310,93,35,Reggio nell'Emilia,ASI1919_21,OK
Roma,1921,2124,679,1445,58,Roma,ASI1919_21,OK
Rovigo,1921,206,84,122,29,Rovigo,ASI1919_21,OK
Salerno,1921,4534,511,4023,65,Salerno,ASI1919_21,OK
Sassari,1921,430,327,103,90,Sassari,ASI1919_21,OK_corrected
Siena,1921,112,82,30,52,Siena,ASI1919_21,OK
Siracusa,1921,2376,270,2106,89,Siracusa,ASI1919_21,OK
Sondrio,1921,2477,1818,659,14,Sondrio,ASI1919_21,OK
Teramo,1921,1904,33,1871,67,Teramo,ASI1919_21,OK
Torino,1921,10344,7384,2960,1,Torino,ASI1919_21,OK
Trapani,1921,2991,1218,1773,81,Trapani,ASI1919_21,OK
Treviso,1921,4130,870,3260,26,Treviso,ASI1919_21,OK
Udine,1921,15649,11293,4356,30,Udine,ASI1919_21,OK
Venezia,1921,339,160,179,27,Venezia,ASI1919_21,OK
Venezia Giulia e Zara,1921,8949,7069,1880,,,ASI1919_21,OK
Venezia Tridentina,1921,3026,1473,1553,,,ASI1919_21,OK
Verona,1921,722,390,332,23,Verona,ASI1919_21,OK
Vicenza,1921,1768,649,1119,24,Vicenza,ASI1919_21,OK
